D_rot,ci,ci_sem
0.0,0.3167496205887324,8.60974263269253e-05
0.001,0.320419166893145,8.662980489369091e-05
0.01,0.331915807319028,8.934616228538414e-05
0.1,0.3599951598443814,9.989781072965448e-05
0.2,0.331854452042283,9.962015686606506e-05
1.0,0.1743400795452228,7.776270777715128e-05
