count,bins
3351.0,9.5
4263.0,14.361386138613861
4739.0,19.222772277227723
5350.0,24.084158415841586
6173.0,28.945544554455445
6179.0,33.806930693069305
6061.0,38.66831683168317
6146.0,43.52970297029703
5985.0,48.39108910891089
5787.0,53.25247524752475
5507.0,58.11386138613861
5367.0,62.975247524752476
4907.0,67.83663366336634
4838.0,72.6980198019802
4508.0,77.55940594059406
4383.0,82.42079207920791
3922.0,87.28217821782178
3845.0,92.14356435643565
3783.0,97.0049504950495
3482.0,101.86633663366337
3348.0,106.72772277227722
3163.0,111.58910891089108
3020.0,116.45049504950495
2905.0,121.3118811881188
2713.0,126.17326732673267
2715.0,131.03465346534654
2531.0,135.8960396039604
2444.0,140.75742574257424
2391.0,145.61881188118812
2273.0,150.48019801980197
2289.0,155.34158415841583
2118.0,160.2029702970297
2073.0,165.06435643564356
2068.0,169.9257425742574
1976.0,174.7871287128713
1987.0,179.64851485148515
1918.0,184.509900990099
1813.0,189.37128712871288
1833.0,194.23267326732673
1811.0,199.09405940594058
1816.0,203.95544554455444
1744.0,208.81683168316832
1743.0,213.67821782178217
1700.0,218.53960396039602
1713.0,223.4009900990099
1627.0,228.26237623762376
1601.0,233.1237623762376
1593.0,237.9851485148515
1592.0,242.84653465346534
1531.0,247.7079207920792
1492.0,252.56930693069307
1510.0,257.4306930693069
1443.0,262.2920792079208
1487.0,267.15346534653463
1383.0,272.0148514851485
1423.0,276.8762376237624
1410.0,281.73762376237624
1452.0,286.5990099009901
1324.0,291.46039603960395
1367.0,296.3217821782178
1296.0,301.18316831683165
1285.0,306.04455445544556
1310.0,310.9059405940594
1229.0,315.76732673267327
1266.0,320.6287128712871
1268.0,325.490099009901
1224.0,330.3514851485148
1156.0,335.2128712871287
1174.0,340.0742574257426
1137.0,344.93564356435644
1100.0,349.7970297029703
1072.0,354.65841584158414
1049.0,359.519801980198
1001.0,364.38118811881185
929.0,369.24257425742576
967.0,374.1039603960396
934.0,378.96534653465346
924.0,383.8267326732673
889.0,388.68811881188117
876.0,393.549504950495
831.0,398.4108910891089
837.0,403.2722772277228
752.0,408.13366336633663
749.0,412.9950495049505
745.0,417.85643564356434
714.0,422.7178217821782
714.0,427.57920792079204
622.0,432.44059405940595
629.0,437.3019801980198
600.0,442.16336633663366
549.0,447.0247524752475
557.0,451.88613861386136
480.0,456.7475247524752
464.0,461.6089108910891
442.0,466.470297029703
418.0,471.33168316831683
378.0,476.1930693069307
321.0,481.05445544554453
332.0,485.9158415841584
253.0,490.77722772277224
140.0,495.63861386138615
,500.5
