,bin_edge,res_time
0,9.5,4795.68
1,14.41,7198.9400000000005
2,19.32,8688.07
3,24.23,9930.52
4,29.14,10600.04
5,34.05,10864.25
6,38.96,10977.06
7,43.870000000000005,10890.22
8,48.78,10569.9
9,53.69,10201.460000000001
10,58.6,9855.78
11,63.510000000000005,9412.31
12,68.42,9012.36
13,73.33,8602.77
14,78.24000000000001,8168.47
15,83.15,7815.12
16,88.06,7474.41
17,92.97,7229.63
18,97.88,6913.6
19,102.79,6564.62
20,107.7,6306.29
21,112.61,6114.900000000001
22,117.52000000000001,5905.650000000001
23,122.43,5695.28
24,127.34,5448.55
25,132.25,5296.08
26,137.16,5167.55
27,142.07,5001.7
28,146.98000000000002,4899.17
29,151.89000000000001,4802.38
30,156.8,4761.07
31,161.71,4682.4800000000005
32,166.62,4595.84
33,171.53,4497.86
34,176.44,4400.61
35,181.35,4305.6
36,186.26,4241.07
37,191.17000000000002,4179.09
38,196.08,4116.01
39,200.99,4052.06
40,205.9,3990.33
41,210.81,3931.6800000000003
42,215.72,3832.9
43,220.63,3811.4500000000003
44,225.54000000000002,3754.71
45,230.45000000000002,3688.19
46,235.36,3632.76
47,240.27,3579.94
48,245.18,3512.96
49,250.09,3479.96
50,255.0,3445.96
51,259.90999999999997,3380.27
52,264.82,3342.69
53,269.73,3294.6
54,274.64,3258.01
55,279.55,3174.9700000000003
56,284.46000000000004,3127.35
57,289.37,3056.71
58,294.28000000000003,3000.36
59,299.19,2931.62
60,304.1,2867.21
61,309.01,2820.29
62,313.92,2762.36
63,318.83,2745.2000000000003
64,323.74,2686.28
65,328.65000000000003,2635.14
66,333.56,2536.51
67,338.47,2473.73
68,343.38,2429.33
69,348.29,2361.31
70,353.2,2324.09
71,358.11,2274.79
72,363.02,2199.37
73,367.93,2121.14
74,372.84000000000003,2025.88
75,377.75,1951.44
76,382.66,1931.8400000000001
77,387.57,1804.29
78,392.48,1794.1100000000001
79,397.39,1752.54
80,402.3,1682.89
81,407.21000000000004,1611.8600000000001
82,412.12,1525.03
83,417.03000000000003,1475.82
84,421.94,1396.65
85,426.85,1348.78
86,431.76,1259.32
87,436.67,1145.23
88,441.58000000000004,1101.65
89,446.49,1034.0
90,451.40000000000003,967.13
91,456.31,870.14
92,461.22,778.71
93,466.13,688.88
94,471.04,587.83
95,475.95,479.36
96,480.86,370.78000000000003
97,485.77000000000004,285.94
98,490.68,207.32
99,495.59000000000003,121.87
100,500.5,
