bin_edge,ci
9.5,0.4423670903979638
14.41,0.31164154237755665
19.32,0.253140758286172
24.23,0.2205303571238318
29.14,0.2008811665217378
34.05,0.19564639005411105
38.96,0.19243929164033327
43.870000000000005,0.191215850593127
48.78,0.19451119663774785
53.69,0.19903557733946092
58.6,0.20345185987432182
63.510000000000005,0.21142896325486066
68.42,0.22066362117806274
73.33,0.22939597158545752
78.24000000000001,0.23975481086847614
83.15,0.25036754244599435
88.06,0.26469023264711045
92.97,0.27284776443886744
97.88,0.2848023219915486
102.79,0.29816781456307295
107.7,0.31168299331205457
112.61,0.3245200348578167
117.52000000000001,0.33693101406751175
122.43,0.3458407492757575
127.34,0.36196770898770664
132.25,0.3732999173260037
137.16,0.37923332907535
142.07,0.3922192533155713
146.98000000000002,0.4032586099483461
151.89000000000001,0.41098526179615735
156.8,0.41973899123825303
161.71,0.42995074427833685
166.62,0.436404973169839
171.53,0.43618433533024276
176.44,0.43685548494933024
181.35,0.436449462310662
186.26,0.4465042299996757
191.17000000000002,0.453341143250531
196.08,0.45631086508332164
200.99,0.45688344996180585
205.9,0.45983354043587377
210.81,0.4650776322945796
215.72,0.46826205534624105
220.63,0.4711266201643049
225.54000000000002,0.4777375325567778
230.45000000000002,0.47043607334450616
235.36,0.47076170467706574
240.27,0.46670550334239097
245.18,0.4664537650412094
250.09,0.4651995103300252
255.0,0.459698880787466
259.90999999999997,0.45573421401824793
264.82,0.4609117751030706
269.73,0.4633943957493227
274.64,0.47013621090164004
279.55,0.4637369687590321
284.46000000000004,0.4647909363071696
289.37,0.4632512999792478
294.28000000000003,0.4669158291584657
299.19,0.46677633131007484
304.1,0.45616575781650254
309.01,0.458011696796572
313.92,0.4542930369508956
318.83,0.4579487923750549
323.74,0.45025707921684016
328.65000000000003,0.44052681969446683
333.56,0.44159966654115923
338.47,0.4444345020911415
343.38,0.4424495789436211
348.29,0.43622417897105764
353.2,0.4381908717834153
358.11,0.43547785712682374
363.02,0.4276641316795686
367.93,0.4228086003977402
372.84000000000003,0.4222866103713975
377.75,0.40869563485124344
382.66,0.40549675407731106
387.57,0.40643532311568126
392.48,0.3983646048433124
397.39,0.39373918586214524
402.3,0.38350347382094074
407.21000000000004,0.37218705239495387
412.12,0.36872325086825286
417.03000000000003,0.3490651260513815
421.94,0.3295154880704631
426.85,0.31822750216525125
431.76,0.3015785768418436
436.67,0.29133689487625547
441.58000000000004,0.26086915519639103
446.49,0.24141116289200076
451.40000000000003,0.2159312741647505
456.31,0.17250911071246292
461.22,0.12407214974694687
466.13,0.07164086733974688
471.04,-0.0071478270312391205
475.95,-0.10298821735703033
480.86,-0.19436543690238262
485.77000000000004,-0.22942905203746097
490.68,-0.3301037044817687
495.59000000000003,-0.5606021517648111
500.5,
