time,x,y,tumble,label_true,label_pred
0.0,-349.6708,-3.4191,True,False,False
0.01,-349.7557,-3.6003,,,
0.02,-349.8409,-3.7812,,,
0.03,-349.9304,-3.96,,,
0.04,-350.0264,-4.1355,,,
0.05,-350.1039,-4.3199,,,
0.06,-350.1851,-4.5026,,,
0.07,-350.2665,-4.6854,,,
0.08,-350.3396,-4.8715,,,
0.09,-350.413,-5.0576,,,
0.1,-350.4809,-5.2457,,,
0.11,-350.5405,-5.4366,,,
0.12,-350.6024,-5.6268,,,
0.13,-350.6618,-5.8177,,,
0.14,-350.7228,-6.0082,,,
0.15,-350.7834,-6.1988,,,
0.16,-350.8482,-6.388,,,
0.17,-350.9216,-6.5741,,,
0.18,-350.9894,-6.7622,,,
0.19,-351.0646,-6.9476,,,
0.2,-351.1457,-7.1303,,,
0.21,-351.2145,-7.3181,,,
0.22,-351.2917,-7.5026,,,
0.23,-351.3728,-7.6855,,,
0.24,-351.4511,-7.8695,,,
0.25,-351.5347,-8.0512,,,
0.26,-351.6252,-8.2296,,,
0.27,-351.7141,-8.4087,,,
0.28,-351.83,-8.5717,,,
0.29,-351.95099999999996,-8.7309,,,
0.3,-352.0673,-8.8937,,,
0.31,-352.1757,-9.0618,,,
0.32,-352.272,-9.237,,,
0.33,-352.3436,-9.4238,,,
0.34,-352.42900000000003,-9.6046,,,
0.35,-352.5228,-9.7813,,,
0.36,-352.6234,-9.9541,,,
0.37,-352.726,-10.1258,,,
0.38,-352.834,-10.2942,,,
0.39,-352.9441,-10.4611,,,
0.4,-353.0441,-10.6343,,,
0.41,-353.1514,-10.8031,,,
0.42,-353.2587,-10.9719,,,
0.43,-353.3658,-11.1407,,,
0.44,-353.4504,-11.322000000000001,,,
0.45,-353.5223,-11.5086,,,
0.46,-353.6065,-11.69,,,
0.47,-353.6958,-11.869000000000002,,,
0.48,-353.76599999999996,-12.0562,,,
0.49,-353.8416,-12.2414,,,
0.5,-353.9258,-12.4228,,,
0.51,-353.9982,-12.6093,,,
0.52,-354.0581,-12.8001,,,
0.53,-354.1069,-12.994000000000002,,,
0.54,-354.1577,-13.1875,,,
0.55,-354.2002,-13.3829,,,
0.56,-354.2286,-13.5809,,,
0.57,-354.2635,-13.7778,,,
0.58,-354.2897,-13.9761,,,
0.59,-354.3005,-14.1758,,,
0.6,-354.3049,-14.3758,,,
0.61,-354.2951,-14.5755,,,
0.62,-354.2867,-14.7753,,,
0.63,-354.2744,-14.975,,,
0.64,-354.2486,-15.1733,,,
0.65,-354.2428,-15.3732,,,
0.66,-354.2449,-15.5732,,,
0.67,-354.2744,-15.770999999999999,,,
0.68,-354.3074,-15.9683,,,
0.69,-354.3207,-16.1678,,,
0.7,-354.3163,-16.3678,,,
0.71,-354.3028,-16.5673,,,
0.72,-354.3126,-16.7671,,,
0.73,-354.3367,-16.9656,,,
0.74,-354.355,-17.1648,,,
0.75,-354.3798,-17.3632,,,
0.76,-354.398,-17.5624,,,
0.77,-354.407,-17.7622,,,
0.78,-354.4116,-17.9622,,,
0.79,-354.4053,-18.1621,,,
0.8,-354.411,-18.362000000000002,,,
0.81,-354.409,-18.562,,,
0.82,-354.4161,-18.7618,,,
0.83,-354.4086,-18.9617,,,
0.84,-354.4245,-19.1611,,,
0.85,-354.4485,-19.3596,,,
0.86,-354.4485,-19.5596,,,
0.87,-354.4382,-19.7594,,,
0.88,-354.4504,-19.959,,,
0.89,-354.4533,-20.159000000000002,,,
0.9,-354.4496,-20.3589,,,
0.91,-354.4512,-20.5589,,,
0.92,-354.46,-20.7587,,,
0.93,-354.4912,-20.9563,,,
0.94,-354.5259,-21.1532,,,
0.95,-354.5675,-21.3489,,,
0.96,-354.6121,-21.5438,,,
0.97,-354.6646,-21.7368,,,
0.98,-354.7342,-21.9243,,,
0.99,-354.7947,-22.115,,,
1.0,-354.7947,-22.115,True,False,False
1.01,-354.8809,-21.9345,,,
1.02,-354.9836,-21.7629,,,
1.03,-355.07599999999996,-21.5855,,,
1.04,-355.1627,-21.4053,,,
1.05,-355.2442,-21.2227,,,
1.06,-355.306,-21.0324,,,
1.07,-355.3707,-20.8432,,,
1.08,-355.426,-20.651,,,
1.09,-355.4777,-20.4578,,,
1.1,-355.5384,-20.2672,,,
1.11,-355.5979,-20.0763,,,
1.12,-355.6639,-19.8875,,,
1.13,-355.735,-19.7006,,,
1.14,-355.8064,-19.5137,,,
1.15,-355.8784,-19.3272,,,
1.16,-355.9718,-19.1503,,,
1.17,-356.0634,-18.9725,,,
1.18,-356.1727,-18.805,,,
1.19,-356.2721,-18.6315,,,
1.2,-356.3794,-18.4627,,,
1.21,-356.4886,-18.2951,,,
1.22,-356.5899,-18.1227,,,
1.23,-356.6611,-17.9358,,,
1.24,-356.7507,-17.757,,,
1.25,-356.827,-17.5721,,,
1.26,-356.892,-17.3829,,,
1.27,-356.9584,-17.1943,,,
1.28,-357.0256,-17.0059,,,
1.29,-357.0961,-16.8188,,,
1.3,-357.1635,-16.6305,,,
1.31,-357.2129,-16.4367,,,
1.32,-357.2727,-16.2458,,,
1.33,-357.3216,-16.0519,,,
1.34,-357.3732,-15.8587,,,
1.35,-357.4318,-15.6674,,,
1.36,-357.5045,-15.4811,,,
1.37,-357.5746,-15.2938,,,
1.38,-357.6411,-15.1052,,,
1.39,-357.7048,-14.9156,,,
1.4,-357.746,-14.7199,,,
1.41,-357.7777,-14.5224,,,
1.42,-357.7969,-14.3234,,,
1.43,-357.8016,-14.1234,,,
1.44,-357.8083,-13.9235,,,
1.45,-357.8112,-13.7235,,,
1.46,-357.8342,-13.5249,,,
1.47,-357.8757,-13.3292,,,
1.48,-357.8937,-13.1301,,,
1.49,-357.9133,-12.931,,,
1.5,-357.9203,-12.7311,,,
1.51,-357.9342,-12.5316,,,
1.52,-357.9502,-12.3323,,,
1.53,-357.9778,-12.1342,,,
1.54,-358.0094,-11.9367,,,
1.55,-358.0504,-11.7409,,,
1.56,-358.0877,-11.5444,,,
1.57,-358.0935,-11.3445,,,
1.58,-358.0843,-11.1447,,,
1.59,-358.0643,-10.9457,,,
1.6,-358.0382,-10.7474,,,
1.61,-357.9995,-10.5512,,,
1.62,-357.9811,-10.3521,,,
1.63,-357.9607,-10.1531,,,
1.64,-357.9566,-9.9532,,,
1.65,-357.9483,-9.7533,,,
1.66,-357.9608,-9.5537,,,
1.67,-357.9582,-9.3538,,,
1.68,-357.9632,-9.1538,,,
1.69,-357.9513,-8.9542,,,
1.7,-357.9451,-8.7543,,,
1.71,-357.9589,-8.5547,,,
1.72,-357.952,-8.3549,,,
1.73,-357.9341,-8.1557,,,
1.74,-357.9194,-7.9562,,,
1.75,-357.9022,-7.7569,,,
