time,x,y,tumble,label_true,label_pred
0.0,-312.3963,-23.1799,True,False,False
0.01,-312.5921,-23.1388,,,
0.02,-312.7889,-23.1032,,,
0.03,-312.9858,-23.0682,,,
0.04,-313.1845,-23.0457,,,
0.05,-313.3843,-23.0367,,,
0.06,-313.5841,-23.0461,,,
0.07,-313.784,-23.0513,,,
0.08,-313.9838,-23.061,,,
0.09,-314.1837,-23.0669,,,
0.1,-314.3837,-23.0667,,,
0.11,-314.5837,-23.0649,,,
0.12,-314.7837,-23.0622,,,
0.13,-314.9836,-23.0666,,,
0.14,-315.1836,-23.0687,,,
0.15,-315.3836,-23.0733,,,
0.16,-315.5834,-23.0801,,,
0.17,-315.7834,-23.0779,,,
0.18,-315.9834,-23.0823,,,
0.19,-316.1833,-23.0772,,,
0.2,-316.3833,-23.0816,,,
0.21,-316.5815,-23.055,,,
0.22,-316.7798,-23.0289,,,
0.23,-316.97900000000004,-23.0118,,,
0.24,-317.17900000000003,-23.0129,,,
0.25,-317.3761,-23.0474,,,
0.26,-317.5751,-23.0667,,,
0.27,-317.77099999999996,-23.1072,,,
0.28,-317.9693,-23.1334,,,
0.29,-318.1637,-23.1803,,,
0.3,-318.3535,-23.2431,,,
0.31,-318.5408,-23.3133,,,
0.32,-318.73,-23.3782,,,
0.33,-318.9234,-23.4294,,,
0.34,-319.1088,-23.5043,,,
0.35,-319.2941,-23.5796,,,
0.36,-319.4776,-23.659000000000002,,,
0.37,-319.6683,-23.7193,,,
0.38,-319.8556,-23.7895,,,
0.39,-320.0417,-23.8628,,,
0.4,-320.2207,-23.9519,,,
0.41,-320.4068,-24.0252,,,
0.42,-320.5929,-24.0984,,,
0.43,-320.7848,-24.155,,,
0.44,-320.9716,-24.2263,,,
0.45,-321.1596,-24.2946,,,
0.46,-321.3436,-24.3729,,,
0.47,-321.5285,-24.4492,,,
0.48,-321.7205,-24.5053,,,
0.49,-321.9155,-24.5497,,,
0.5,-322.1067,-24.6082,,,
0.51,-322.2971,-24.6696,,,
0.52,-322.4863,-24.7343,,,
0.53,-322.6709,-24.8113,,,
0.54,-322.8545,-24.8905,,,
0.55,-323.0419,-24.9606,,,
0.56,-323.2253,-25.0403,,,
0.57,-323.4129,-25.1095,,,
0.58,-323.6004,-25.1791,,,
0.59,-323.7833,-25.2601,,,
0.6,-323.9694,-25.3334,,,
0.61,-324.1547,-25.4086,,,
0.62,-324.3447,-25.471,,,
0.63,-324.5343,-25.5348,,,
0.64,-324.7292,-25.5797,,,
0.65,-324.9197,-25.6405,,,
0.66,-325.1089,-25.7053,,,
0.67,-325.3008,-25.7617,,,
0.68,-325.4802,-25.85,,,
0.69,-325.6564,-25.9446,,,
0.7,-325.8329,-26.0387,,,
0.71,-326.0016,-26.1462,,,
0.72,-326.1699,-26.2542,,,
0.73,-326.3283,-26.3764,,,
0.74,-326.4849,-26.5008,,,
0.75,-326.6371,-26.6305,,,
0.76,-326.7924,-26.7565,,,
0.77,-326.9553,-26.8725,,,
0.78,-327.1209,-26.9847,,,
0.79,-327.2798,-27.1062,,,
0.8,-327.4397,-27.2263,,,
0.81,-327.6093,-27.3323,,,
0.82,-327.7675,-27.4547,,,
0.83,-327.9361,-27.5623,,,
0.84,-328.1148,-27.6521,,,
0.85,-328.2959,-27.737,,,
0.86,-328.4847,-27.8028,,,
0.87,-328.6797,-27.8473,,,
0.88,-328.8765,-27.8829,,,
0.89,-329.0728,-27.9212,,,
0.9,-329.2667,-27.9704,,,
0.91,-329.4564,-28.0336,,,
0.92,-329.648,-28.090999999999998,,,
0.93,-329.8354,-28.1609,,,
0.94,-330.0221,-28.2325,,,
0.95,-330.2114,-28.2971,,,
0.96,-330.3993,-28.3657,,,
0.97,-330.5892,-28.4285,,,
0.98,-330.7806,-28.4862,,,
0.99,-330.9666,-28.5598,,,
1.0,-330.9666,-28.5598,True,False,False
1.01,-330.9013,-28.3708,,,
1.02,-330.8443,-28.1791,,,
1.03,-330.788,-27.9872,,,
1.04,-330.73900000000003,-27.7933,,,
1.05,-330.7004,-27.596999999999998,,,
1.06,-330.6492,-27.4037,,,
1.07,-330.5828,-27.215,,,
1.08,-330.5346,-27.0209,,,
1.09,-330.4769,-26.8294,,,
1.1,-330.4181,-26.6383,,,
1.11,-330.3892,-26.4404,,,
1.12,-330.3546,-26.2434,,,
1.13,-330.293,-26.0531,,,
1.14,-330.2656,-25.855,,,
1.15,-330.251,-25.6555,,,
1.16,-330.2409,-25.4558,,,
1.17,-330.2659,-25.2574,,,
1.18,-330.29,-25.0588,,,
1.19,-330.332,-24.8633,,,
1.2,-330.3743,-24.6678,,,
1.21,-330.4131,-24.4716,,,
1.22,-330.4597,-24.2771,,,
1.23,-330.5171,-24.0855,,,
1.24,-330.5899,-23.8992,,,
1.25,-330.6765,-23.719,,,
1.26,-330.7574,-23.5361,,,
1.27,-330.8373,-23.3527,,,
1.28,-330.9391,-23.1806,,,
1.29,-331.0474,-23.0124,,,
1.3,-331.1568,-22.845,,,
1.31,-331.28,-22.6874,,,
1.32,-331.4166,-22.5414,,,
1.33,-331.5647,-22.406999999999996,,,
1.34,-331.7081,-22.2675,,,
1.35,-331.848,-22.1246,,,
1.36,-331.9946,-21.9886,,,
1.37,-332.151,-21.8639,,,
1.38,-332.2976,-21.7278,,,
1.39,-332.4401,-21.5876,,,
1.4,-332.5807,-21.4453,,,
1.41,-332.73,-21.3122,,,
1.42,-332.8698,-21.1692,,,
1.43,-333.0319,-21.0521,,,
1.44,-333.1947,-20.9359,,,
1.45,-333.36199999999997,-20.8262,,,
1.46,-333.543,-20.7411,,,
1.47,-333.7272,-20.6633,,,
1.48,-333.9149,-20.5943,,,
1.49,-334.1019,-20.5234,,,
1.5,-334.2909,-20.458,,,
1.51,-334.4752,-20.3803,,,
1.52,-334.6592,-20.3018,,,
1.53,-334.8433,-20.2237,,,
1.54,-335.0223,-20.1344,,,
1.55,-335.2066,-20.0568,,,
1.56,-335.39300000000003,-19.9845,,,
1.57,-335.5698,-19.8909,,,
1.58,-335.751,-19.8063,,,
1.59,-335.9271,-19.7114,,,
1.6,-336.1065,-19.6231,,,
1.61,-336.2813,-19.5259,,,
1.62,-336.4539,-19.4249,,,
1.63,-336.6292,-19.3285,,,
1.64,-336.815,-19.2545,,,
1.65,-336.9929,-19.1631,,,
1.66,-337.1688,-19.067999999999998,,,
1.67,-337.3427,-18.9692,,,
1.68,-337.5231,-18.8827,,,
1.69,-337.7021,-18.7936,,,
1.7,-337.8835,-18.7094,,,
1.71,-338.0714,-18.6408,,,
1.72,-338.2624,-18.5815,,,
1.73,-338.4518,-18.5173,,,
1.74,-338.6394,-18.448,,,
1.75,-338.8259,-18.3758,,,
1.76,-339.0131,-18.3054,,,
1.77,-339.1963,-18.2252,,,
1.78,-339.3793,-18.1445,,,
1.79,-339.5652,-18.0706,,,
1.8,-339.7488,-17.9913,,,
1.81,-339.93,-17.9067,,,
1.82,-340.1128,-17.8254,,,
1.83,-340.2994,-17.7536,,,
1.84,-340.4794,-17.6664,,,
1.85,-340.6537,-17.5683,,,
1.86,-340.8354,-17.4847,,,
1.87,-341.017,-17.4009,,,
1.88,-341.1924,-17.3048,,,
1.89,-341.3686,-17.2102,,,
1.9,-341.5533,-17.1336,,,
1.91,-341.735,-17.05,,,
1.92,-341.9113,-16.9556,,,
1.93,-342.0862,-16.8585,,,
1.94,-342.2699,-16.7795,,,
1.95,-342.4503,-16.692999999999998,,,
1.96,-342.6334,-16.6127,,,
1.97,-342.8213,-16.5442,,,
1.98,-343.0117,-16.4831,,,
1.99,-343.2008,-16.4179,,,
2.0,-343.2008,-16.4179,True,False,False
2.01,-343.0218,-16.3288,,,
2.02,-342.8385,-16.2488,,,
2.03,-342.6582,-16.1622,,,
2.04,-342.477,-16.0776,,,
2.05,-342.2947,-15.9953,,,
2.06,-342.1128,-15.9123,,,
2.07,-341.9309,-15.8291,,,
2.08,-341.7435,-15.7591,,,
2.09,-341.555,-15.6922,,,
2.1,-341.3627,-15.6375,,,
2.11,-341.1677,-15.5928,,,
2.12,-340.9754,-15.538,,,
2.13,-340.7889,-15.4657,,,
2.14,-340.6031,-15.3917,,,
2.15,-340.4175,-15.3173,,,
2.16,-340.2358,-15.2336,,,
2.17,-340.0474,-15.1666,,,
2.18,-339.8661,-15.0822,,,
2.19,-339.6814,-15.0053,,,
2.2,-339.5024,-14.9161,,,
2.21,-339.32099999999997,-14.832,,,
2.22,-339.1449,-14.7372,,,
2.23,-338.9626,-14.6549,,,
2.24,-338.7839,-14.565,,,
2.25,-338.6013,-14.4835,,,
2.26,-338.4113,-14.4209,,,
2.27,-338.2218,-14.3569,,,
2.28,-338.0303,-14.2993,,,
2.29,-337.8401,-14.2376,,,
2.3,-337.6539,-14.1644,,,
2.31,-337.4716,-14.0822,,,
