time,x,y,tumble,label_true,label_pred
0.0,-345.0373,-83.0659,True,False,False
0.01,-344.8474,-83.0031,,,
0.02,-344.6538,-82.9528,,,
0.03,-344.4639,-82.8901,,,
0.04,-344.2783,-82.8158,,,
0.05,-344.0927,-82.7411,,,
0.06,-343.9051,-82.6719,,,
0.07,-343.7172,-82.6033,,,
0.08,-343.5399,-82.5108,,,
0.09,-343.3592,-82.425,,,
0.1,-343.184,-82.3287,,,
0.11,-343.00199999999995,-82.2457,,,
0.12,-342.8183,-82.1667,,,
0.13,-342.6349,-82.0869,,,
0.14,-342.4442,-82.0264,,,
0.15,-342.2552,-81.9612,,,
0.16,-342.0604,-81.9157,,,
0.17,-341.86400000000003,-81.8781,,,
0.18,-341.6663,-81.8475,,,
0.19,-341.4735,-81.7945,,,
0.2,-341.2812,-81.7395,,,
0.21,-341.0853,-81.6993,,,
0.22,-340.8878,-81.6679,,,
0.23,-340.6927,-81.6238,,,
0.24,-340.4962,-81.5863,,,
0.25,-340.2973,-81.5655,,,
0.26,-340.0995,-81.5362,,,
0.27,-339.9022,-81.5034,,,
0.28,-339.7042,-81.4752,,,
0.29,-339.5085,-81.4339,,,
0.3,-339.3135,-81.3894,,,
0.31,-339.1167,-81.3535,,,
0.32,-338.917,-81.343,,,
0.33,-338.7181,-81.3219,,,
0.34,-338.5187,-81.3067,,,
0.35,-338.3187,-81.3092,,,
0.36,-338.1202,-81.3335,,,
0.37,-337.9221,-81.3608,,,
0.38,-337.7246,-81.3927,,,
0.39,-337.5321,-81.4469,,,
0.4,-337.3388,-81.4981,,,
0.41,-337.1424,-81.5361,,,
0.42,-336.9488,-81.5863,,,
0.43,-336.7587,-81.6483,,,
0.44,-336.5748,-81.7271,,,
0.45,-336.3921,-81.8084,,,
0.46,-336.2091,-81.8889,,,
0.47,-336.034,-81.9857,,,
0.48,-335.8592,-82.0828,,,
0.49,-335.69,-82.1895,,,
0.5,-335.5121,-82.2809,,,
0.51,-335.3399,-82.3825,,,
0.52,-335.1624,-82.4748,,,
0.53,-334.9791,-82.5547,,,
0.54,-334.8011,-82.6459,,,
0.55,-334.6154,-82.7201,,,
0.56,-334.4358,-82.8083,,,
0.57,-334.2498,-82.8818,,,
0.58,-334.0735,-82.9762,,,
0.59,-333.8928,-83.0619,,,
0.6,-333.7161,-83.1556,,,
0.61,-333.54,-83.2503,,,
0.62,-333.3595,-83.3365,,,
0.63,-333.1852,-83.4345,,,
0.64,-333.0034,-83.5179,,,
0.65,-332.8172,-83.59100000000001,,,
0.66,-332.62199999999996,-83.6344,,,
0.67,-332.4286,-83.6856,,,
0.68,-332.2368,-83.7421,,,
0.69,-332.0463,-83.8032,,,
0.7,-331.8617,-83.88,,,
0.71,-331.676,-83.9542,,,
0.72,-331.4897,-84.027,,,
0.73,-331.3021,-84.0963,,,
0.74,-331.1077,-84.1435,,,
0.75,-330.9124,-84.1863,,,
0.76,-330.7163,-84.2257,,,
0.77,-330.5206,-84.26700000000001,,,
0.78,-330.3237,-84.302,,,
0.79,-330.1253,-84.3277,,,
0.8,-329.9256,-84.3379,,,
0.81,-329.7259,-84.34899999999999,,,
0.82,-329.5259,-84.3499,,,
0.83,-329.3264,-84.3354,,,
0.84,-329.1272,-84.318,,,
0.85,-328.9289,-84.2916,,,
0.86,-328.7323,-84.255,,,
0.87,-328.5326,-84.2445,,,
0.88,-328.3326,-84.2409,,,
0.89,-328.1326,-84.244,,,
0.9,-327.9328,-84.2359,,,
0.91,-327.7335,-84.219,,,
0.92,-327.5336,-84.213,,,
0.93,-327.3337,-84.2059,,,
0.94,-327.1344,-84.1889,,,
0.95,-326.9352,-84.1721,,,
0.96,-326.7358,-84.1563,,,
0.97,-326.5388,-84.1219,,,
0.98,-326.3394,-84.10600000000001,,,
0.99,-326.1398,-84.0931,,,
1.0,-325.9416,-84.0664,False,True,True
1.01,-325.7416,-84.0667,False,True,True
1.02,-325.5424,-84.0491,False,True,True
1.03,-325.3436,-84.0273,False,True,True
1.04,-325.1483,-83.9839,False,True,True
1.05,-324.9527,-83.9423,False,True,True
1.06,-324.7594,-83.891,False,True,True
1.07,-324.5652,-83.8433,False,True,True
1.08,-324.3708,-83.7964,False,True,True
1.09,-324.1736,-83.7628,False,True,True
1.1,-323.97900000000004,-83.7165,False,True,True
1.11,-323.7835,-83.6745,False,True,True
1.12,-323.5898,-83.6246,False,True,True
1.13,-323.3989,-83.5649,False,True,True
1.14,-323.2074,-83.5073,False,True,True
1.15,-323.0105,-83.4722,False,True,True
1.16,-322.8134,-83.4381,False,True,True
1.17,-322.6194,-83.3895,False,True,True
1.18,-322.4282,-83.331,False,True,True
1.19,-322.2426,-83.2564,False,True,True
1.2,-322.0536,-83.191,False,True,True
1.21,-321.8576,-83.1512,False,True,True
1.22,-321.6625,-83.10700000000001,False,True,True
1.23,-321.4683,-83.0592,False,True,True
1.24,-321.2744,-83.0102,False,True,True
1.25,-321.0785,-82.9701,False,True,True
1.26,-320.8826,-82.9298,False,True,True
1.27,-320.6864,-82.8909,False,True,True
1.28,-320.4912,-82.8476,False,True,True
1.29,-320.2961,-82.8036,False,True,True
1.3,-320.1016,-82.7568,False,True,True
1.31,-319.9058,-82.7161,False,True,True
1.32,-319.7152,-82.6556,False,True,True
1.33,-319.5218,-82.6045,False,True,True
1.34,-319.3284,-82.5535,False,True,True
1.35,-319.1343,-82.5052,False,True,True
1.36,-318.941,-82.4539,False,True,True
1.37,-318.7476,-82.4032,False,True,True
1.38,-318.5597,-82.3345,False,True,True
1.39,-318.3731,-82.2627,False,True,True
1.4,-318.1877,-82.1877,False,True,True
1.41,-318.0024,-82.1123,False,True,True
1.42,-317.8124,-82.0498,False,True,True
1.43,-317.6204,-81.9938,False,True,True
1.44,-317.4263,-81.9457,False,True,True
1.45,-317.2321,-81.8981,False,True,True
1.46,-317.0409,-81.8391,False,True,True
1.47,-316.8476,-81.7879,False,True,True
1.48,-316.655,-81.7339,False,True,True
1.49,-316.4572,-81.7048,False,True,True
1.5,-316.2606,-81.6679,False,True,True
1.51,-316.0658,-81.6228,False,True,True
1.52,-315.8718,-81.574,False,True,True
1.53,-315.6813,-81.5131,False,True,True
1.54,-315.4878,-81.4623,False,True,True
1.55,-315.295,-81.4094,False,True,True
1.56,-315.0988,-81.3707,False,True,True
1.57,-314.9047,-81.3225,False,True,True
1.58,-314.71,-81.2767,False,True,True
1.59,-314.5149,-81.2326,False,True,True
1.6,-314.327,-81.164,False,True,True
1.61,-314.1372,-81.101,False,True,True
1.62,-313.957,-81.0142,False,True,True
1.63,-313.7802,-80.9208,False,True,True
1.64,-313.6012,-80.8316,False,True,True
1.65,-313.4248,-80.7374,False,True,True
1.66,-313.2567,-80.62899999999999,False,True,True
1.67,-313.0842,-80.5277,False,True,True
1.68,-312.9134,-80.4237,False,True,True
1.69,-312.7439,-80.3176,False,True,True
1.7,-312.5576,-80.2448,False,True,True
1.71,-312.3714,-80.1716,False,True,True
1.72,-312.1846,-80.1004,False,True,True
1.73,-311.9944,-80.0385,False,True,True
1.74,-311.801,-79.9876,False,True,True
1.75,-311.6075,-79.9369,False,True,True
1.76,-311.4165,-79.8777,False,True,True
1.77,-311.2224,-79.8292,False,True,True
1.78,-311.0319,-79.7685,False,True,True
