time,x,y,tumble,label_true,label_pred
0.0,167.6962,278.3244,True,False,False
0.01,167.5698,278.4794,,,
0.02,167.4348,278.6269,,,
0.03,167.3203,278.7909,,,
0.04,167.204,278.9536,,,
0.05,167.0808,279.1112,,,
0.06,166.9659,279.2749,,,
0.07,166.84900000000002,279.4372,,,
0.08,166.7192,279.5893,,,
0.09,166.6017,279.7512,,,
0.1,166.4664,279.8985,,,
0.11,166.3514,280.0621,,,
0.12,166.2289,280.2202,,,
0.13,166.0907,280.3648,,,
0.14,165.9517,280.5086,,,
0.15,165.8184,280.6577,,,
0.16,165.6828,280.8047,,,
0.17,165.5457,280.9503,,,
0.18,165.4307,281.1139,,,
0.19,165.3352,281.2897,,,
0.2,165.2488,281.4701,,,
0.21,165.1568,281.6477,,,
0.22,165.0792,281.832,,,
0.23,165.0001,282.0157,,,
0.24,164.9234,282.2004,,,
0.25,164.8477,282.3855,,,
0.26,164.7633,282.5668,,,
0.27,164.692,282.7537,,,
0.28,164.6125,282.9372,,,
0.29,164.5216,283.1153,,,
0.3,164.4314,283.2938,,,
0.31,164.3653,283.4826,,,
0.32,164.3221,283.6779,,,
0.33,164.2762,283.8725,,,
0.34,164.2261,284.0662,,,
0.35,164.1764,284.2599,,,
0.36,164.1581,284.459,,,
0.37,164.1394,284.6582,,,
0.38,164.1123,284.8563,,,
0.39,164.0801,285.0537,,,
0.4,164.0506,285.2515,,,
0.41,164.003,285.4458,,,
0.42,163.9556,285.6401,,,
0.43,163.9088,285.8345,,,
0.44,163.8498,286.0256,,,
0.45,163.8108,286.2218,,,
0.46,163.7846,286.4201,,,
0.47,163.7553,286.6179,,,
0.48,163.7538,286.8179,,,
0.49,163.7483,287.0178,,,
0.5,163.7473,287.2178,,,
0.51,163.7285,287.4169,,,
0.52,163.7034,287.6154,,,
0.53,163.6935,287.8151,,,
0.54,163.7007,288.015,,,
0.55,163.6974,288.215,,,
0.56,163.6951,288.4149,,,
0.57,163.7067,288.6146,,,
0.58,163.7365,288.8124,,,
0.59,163.7872,289.0058,,,
0.6,163.8556,289.1938,,,
0.61,163.9342,289.3777,,,
0.62,164.0364,289.5496,,,
0.63,164.1207,289.731,,,
0.64,164.1968,289.9159,,,
0.65,164.2613,290.1052,,,
0.66,164.3345,290.2913,,,
0.67,164.3964,290.4815,,,
0.68,164.458,290.6718,,,
0.69,164.5371,290.8555,,,
0.7,164.618,291.0384,,,
0.71,164.7011,291.2203,,,
0.72,164.7773,291.4053,,,
0.73,164.8683,291.5833,,,
0.74,164.9532,291.7644,,,
0.75,165.0122,291.9555,,,
0.76,165.0616,292.1493,,,
0.77,165.1038,292.3448,,,
0.78,165.1311,292.543,,,
0.79,165.1645,292.7401,,,
0.8,165.1952,292.9378,,,
0.81,165.2136,293.1369,,,
0.82,165.2482,293.3339,,,
0.83,165.2708,293.5326,,,
0.84,165.3054,293.7296,,,
0.85,165.3436,293.9259,,,
0.86,165.3733,294.1237,,,
0.87,165.4125,294.3198,,,
0.88,165.4284,294.5192,,,
0.89,165.4302,294.7192,,,
0.9,165.4352,294.9191,,,
0.91,165.4527,295.1184,,,
0.92,165.4681,295.3178,,,
0.93,165.5025,295.5148,,,
0.94,165.5324,295.7125,,,
0.95,165.5478,295.9119,,,
0.96,165.5688,296.1108,,,
0.97,165.6045,296.3076,,,
0.98,165.6279,296.5063,,,
0.99,165.6644,296.7029,,,
1.0,165.6644,296.7029,True,False,False
1.01,165.5552,296.8704,,,
1.02,165.4544,297.0432,,,
1.03,165.3681,297.2236,,,
1.04,165.2915,297.4084,,,
1.05,165.217,297.594,,,
1.06,165.1385,297.7779,,,
1.07,165.0576,297.9608,,,
1.08,164.97099999999998,298.1411,,,
1.09,164.8723,298.315,,,
1.1,164.7736,298.48900000000003,,,
1.11,164.6617,298.6547,,,
1.12,164.5486,298.8197,,,
1.13,164.4508,298.9942,,,
1.14,164.3572,299.1709,,,
1.15,164.265,299.3484,,,
1.16,164.1729,299.5259,,,
1.17,164.1083,299.7152,,,
1.18,164.051,299.9068,,,
1.19,163.9944,300.0986,,,
1.2,163.94,300.2911,,,
1.21,163.8947,300.4859,,,
1.22,163.8611,300.6831,,,
1.23,163.8024,300.8743,,,
1.24,163.7528,301.068,,,
1.25,163.7103,301.2634,,,
1.26,163.66899999999998,301.4591,,,
1.27,163.6266,301.6546,,,
1.28,163.5754,301.8479,,,
1.29,163.5083,302.0363,,,
1.3,163.4379,302.2235,,,
1.31,163.3447,302.4005,,,
1.32,163.2521,302.5778,,,
1.33,163.1676,302.759,,,
1.34,163.0652,302.9308,,,
1.35,162.9623,303.1023,,,
1.36,162.8566,303.2721,,,
1.37,162.7567,303.4454,,,
1.38,162.655,303.6176,,,
1.39,162.5422,303.7828,,,
1.4,162.415,303.937,,,
1.41,162.3098,304.1071,,,
1.42,162.2037,304.2767,,,
1.43,162.0952,304.4447,,,
1.44,162.0049,304.6232,,,
1.45,161.9202,304.8044,,,
1.46,161.8471,304.9905,,,
1.47,161.7549,305.168,,,
1.48,161.6641,305.3462,,,
1.49,161.5859,305.5302,,,
1.5,161.501,305.7114,,,
1.51,161.4058,305.8872,,,
1.52,161.3124,306.0641,,,
1.53,161.2283,306.2455,,,
1.54,161.1613,306.434,,,
1.55,161.0923,306.6217,,,
1.56,161.0197,306.8081,,,
1.57,160.9412,306.992,,,
1.58,160.8466,307.1683,,,
1.59,160.7724,307.35400000000004,,,
1.6,160.7021,307.5412,,,
1.61,160.6265,307.7264,,,
1.62,160.5334,307.9034,,,
1.63,160.4346,308.0773,,,
1.64,160.3322,308.2491,,,
1.65,160.2397,308.4264,,,
1.66,160.1457,308.6029,,,
1.67,160.0582,308.7828,,,
1.68,159.9919,308.9715,,,
1.69,159.9479,309.1666,,,
1.7,159.8823,309.3555,,,
1.71,159.8168,309.5445,,,
1.72,159.7676,309.7383,,,
1.73,159.7413,309.9366,,,
1.74,159.7374,310.1365,,,
1.75,159.7267,310.3363,,,
1.76,159.7382,310.5359,,,
1.77,159.7533,310.7354,,,
1.78,159.7491,310.9353,,,
1.79,159.7413,311.1352,,,
1.8,159.7077,311.3323,,,
1.81,159.6822,311.5307,,,
1.82,159.6507,311.7282,,,
1.83,159.6159,311.9251,,,
1.84,159.578,312.1215,,,
1.85,159.5383,312.3175,,,
1.86,159.4904,312.5117,,,
1.87,159.4371,312.7045,,,
1.88,159.4129,312.903,,,
1.89,159.3853,313.1011,,,
1.9,159.358,313.2992,,,
1.91,159.3539,313.4992,,,
1.92,159.3462,313.699,,,
1.93,159.3428,313.899,,,
1.94,159.3414,314.099,,,
1.95,159.3405,314.29900000000004,,,
1.96,159.3412,314.499,,,
1.97,159.3359,314.6989,,,
1.98,159.3372,314.8989,,,
1.99,159.3571,315.0979,,,
2.0,159.3571,315.0979,True,False,False
2.01,159.1742,315.1788,,,
2.02,159.0002,315.2774,,,
2.03,158.8362,315.392,,,
2.04,158.6735,315.5082,,,
2.05,158.5146,315.6296,,,
2.06,158.3528,315.7473,,,
2.07,158.1979,315.8737,,,
2.08,158.0331,315.9872,,,
2.09,157.8668,316.0981,,,
2.1,157.7158,316.2293,,,
2.11,157.5513,316.343,,,
2.12,157.3823,316.45,,,
2.13,157.2107,316.5528,,,
2.14,157.0493,316.6709,,,
2.15,156.8948,316.7978,,,
2.16,156.7492,316.935,,,
2.17,156.5973,317.0651,,,
2.18,156.4376,317.1855,,,
2.19,156.282,317.3112,,,
2.2,156.1137,317.4192,,,
2.21,155.935,317.5091,,,
2.22,155.7542,317.5945,,,
2.23,155.5747,317.6827,,,
2.24,155.393,317.7662,,,
2.25,155.2041,317.8318,,,
2.26,155.0139,317.8937,,,
2.27,154.8279,317.9673,,,
2.28,154.6432,318.04400000000004,,,
2.29,154.4589,318.1217,,,
2.3,154.2772,318.2052,,,
2.31,154.0906,318.2772,,,
2.32,153.9064,318.3551,,,
2.33,153.7261,318.4418,,,
2.34,153.5431,318.5224,,,
2.35,153.3629,318.6092,,,
2.36,153.1709,318.6651,,,
2.37,152.9787,318.7206,,,
2.38,152.7892,318.7846,,,
2.39,152.5971,318.8401,,,
2.4,152.4086,318.907,,,
2.41,152.2195,318.9722,,,
2.42,152.0266,319.0248,,,
2.43,151.8366,319.0873,,,
2.44,151.6451,319.1449,,,
2.45,151.4489,319.1838,,,
2.46,151.2541,319.2292,,,
2.47,151.0573,319.2648,,,
2.48,150.8603,319.2991,,,
2.49,150.6608,319.3137,,,
2.5,150.4619,319.3344,,,
2.51,150.2631,319.3567,,,
2.52,150.064,319.3754,,,
2.53,149.8657,319.4017,,,
2.54,149.6684,319.4339,,,
2.55,149.4728,319.476,,,
2.56,149.2751,319.5061,,,
2.57,149.0756,319.5207,,,
2.58,148.8756,319.52,,,
2.59,148.6758,319.5274,,,
