time,x,y,tumble,label_true,label_pred
0.0,-104.8528,279.116,True,False,False
0.01,-105.0524,279.1029,,,
0.02,-105.249,279.1397,,,
0.03,-105.4484,279.1545,,,
0.04,-105.6474,279.1745,,,
0.05,-105.8439,279.212,,,
0.06,-106.0396,279.253,,,
0.07,-106.2349,279.2962,,,
0.08,-106.427,279.3517,,,
0.09,-106.6174,279.4129,,,
0.1,-106.811,279.4631,,,
0.11,-107.0052,279.5112,,,
0.12,-107.2009,279.5524,,,
0.13,-107.4002,279.5688,,,
0.14,-107.5983,279.596,,,
0.15,-107.7982,279.60400000000004,,,
0.16,-107.9982,279.6005,,,
0.17,-108.1979,279.5902,,,
0.18,-108.397,279.57099999999997,,,
0.19,-108.5961,279.5525,,,
0.2,-108.7952,279.533,,,
0.21,-108.9951,279.5297,,,
0.22,-109.1951,279.5243,,,
0.23,-109.3947,279.513,,,
0.24,-109.5947,279.509,,,
0.25,-109.7946,279.5139,,,
0.26,-109.9941,279.5281,,,
0.27,-110.1941,279.5267,,,
0.28,-110.3918,279.4964,,,
0.29,-110.5907,279.4756,,,
0.3,-110.7894,279.4987,,,
0.31,-110.9871,279.5291,,,
0.32,-111.1863,279.5464,,,
0.33,-111.3854,279.5659,,,
0.34,-111.585,279.5782,,,
0.35,-111.7835,279.6025,,,
0.36,-111.9826,279.6214,,,
0.37,-112.1819,279.6377,,,
0.38,-112.3814,279.6525,,,
0.39,-112.5805,279.6717,,,
0.4,-112.7787,279.6985,,,
0.41,-112.9787,279.6981,,,
0.42,-113.1786,279.6918,,,
0.43,-113.3786,279.692,,,
0.44,-113.5786,279.6943,,,
0.45,-113.7785,279.6984,,,
0.46,-113.9784,279.7055,,,
0.47,-114.1754,279.7401,,,
0.48,-114.3741,279.7627,,,
0.49,-114.5735,279.7775,,,
0.5,-114.7733,279.7869,,,
0.51,-114.9729,279.7993,,,
0.52,-115.1725,279.8125,,,
0.53,-115.3719,279.8285,,,
0.54,-115.5705,279.8519,,,
0.55,-115.76700000000001,279.889,,,
0.56,-115.9633,279.9273,,,
0.57,-116.149,280.0015,,,
0.58,-116.3276,280.0916,,,
0.59,-116.5038,280.1863,,,
0.6,-116.6757,280.2886,,,
0.61,-116.8427,280.3986,,,
0.62,-117.0055,280.5147,,,
0.63,-117.1792,280.6138,,,
0.64,-117.3518,280.715,,,
0.65,-117.5388,280.7857,,,
0.66,-117.7321,280.837,,,
0.67,-117.9238,280.8942,,,
0.68,-118.1076,280.9729,,,
0.69,-118.294,281.0456,,,
0.7,-118.4817,281.1145,,,
0.71,-118.6647,281.1951,,,
0.72,-118.8402,281.2911,,,
0.73,-119.0155,281.3875,,,
0.74,-119.1913,281.4827,,,
0.75,-119.361,281.5887,,,
0.76,-119.5266,281.7007,,,
0.77,-119.6901,281.816,,,
0.78,-119.8685,281.9063,,,
0.79,-120.046,281.9985,,,
0.8,-120.2235,282.0907,,,
0.81,-120.3976,282.1892,,,
0.82,-120.5664,282.2963,,,
0.83,-120.7409,282.394,,,
0.84,-120.9082,282.5037,,,
0.85,-121.0758,282.6129,,,
0.86,-121.23100000000001,282.73900000000003,,,
0.87,-121.3887,282.862,,,
0.88,-121.5317,283.0018,,,
0.89,-121.6809,283.135,,,
0.9,-121.8299,283.2685,,,
0.91,-121.9905,283.3876,,,
0.92,-122.1514,283.5064,,,
0.93,-122.3161,283.6198,,,
0.94,-122.4791,283.7357,,,
0.95,-122.645,283.8475,,,
0.96,-122.8169,283.9496,,,
0.97,-123.0068,284.0125,,,
0.98,-123.1982,284.0704,,,
0.99,-123.3913,284.1226,,,
1.0,-123.3913,284.1226,True,False,False
1.01,-123.3468,283.9277,,,
1.02,-123.3034,283.7324,,,
1.03,-123.2519,283.5392,,,
1.04,-123.1988,283.3463,,,
1.05,-123.1247,283.1606,,,
1.06,-123.0414,282.9788,,,
1.07,-122.9527,282.7995,,,
1.08,-122.8622,282.6212,,,
1.09,-122.7759,282.4407,,,
1.1,-122.6788,282.2659,,,
1.11,-122.588,282.0877,,,
1.12,-122.4888,281.914,,,
1.13,-122.3899,281.7401,,,
1.14,-122.2892,281.5674,,,
1.15,-122.1674,281.4088,,,
1.16,-122.0382,281.2561,,,
1.17,-121.9017,281.1099,,,
1.18,-121.7688,280.9604,,,
1.19,-121.6357,280.8112,,,
1.2,-121.5006,280.6637,,,
1.21,-121.3725,280.5101,,,
1.22,-121.2537,280.3492,,,
1.23,-121.1325,280.1901,,,
1.24,-120.9987,280.0415,,,
1.25,-120.8762,279.8834,,,
1.26,-120.7523,279.7264,,,
1.27,-120.6354,279.5641,,,
1.28,-120.5136,279.4055,,,
1.29,-120.3883,279.2496,,,
1.3,-120.2759,279.0841,,,
1.31,-120.1763,278.9107,,,
1.32,-120.0717,278.7402,,,
