time,x,y,tumble,label_true,label_pred
0.0,-299.5375,230.0535,True,False,False
0.01,-299.3444,230.0014,,,
0.02,-299.1552,229.9366,,,
0.03,-298.9693,229.863,,,
0.04,-298.7797,229.7991,,,
0.05,-298.5927,229.7283,,,
0.06,-298.4044,229.6608,,,
0.07,-298.2201,229.5833,,,
0.08,-298.0314,229.5168,,,
0.09,-297.8481,229.4368,,,
0.1,-297.66,229.36900000000003,,,
0.11,-297.4693,229.3087,,,
0.12,-297.2814,229.2401,,,
0.13,-297.0982,229.1599,,,
0.14,-296.9177,229.0738,,,
0.15,-296.7395,228.9829,,,
0.16,-296.5775,228.8657,,,
0.17,-296.4128,228.7522,,,
0.18,-296.2496,228.6365,,,
0.19,-296.0905,228.5154,,,
0.2,-295.9307,228.3952,,,
0.21,-295.7631,228.28599999999997,,,
0.22,-295.5888,228.188,,,
0.23,-295.4143,228.0902,,,
0.24,-295.2421,227.9885,,,
0.25,-295.078,227.8741,,,
0.26,-294.9073,227.7699,,,
0.27,-294.7347,227.669,,,
0.28,-294.5575,227.5762,,,
0.29,-294.3885,227.4693,,,
0.3,-294.2268,227.3515,,,
0.31,-294.0714,227.2256,,,
0.32,-293.9245,227.0899,,,
0.33,-293.7766,226.9553,,,
0.34,-293.6187,226.8325,,,
0.35,-293.4727,226.6958,,,
0.36,-293.3307,226.5549,,,
0.37,-293.1798,226.4237,,,
0.38,-293.0231,226.2994,,,
0.39,-292.8715,226.169,,,
0.4,-292.721,226.0372,,,
0.41,-292.5517,225.9307,,,
0.42,-292.3812,225.8263,,,
0.43,-292.207,225.7279,,,
0.44,-292.0407,225.6169,,,
0.45,-291.8669,225.5178,,,
0.46,-291.6927,225.4196,,,
0.47,-291.5096,225.3393,,,
0.48,-291.3191,225.2782,,,
0.49,-291.1297,225.21400000000003,,,
0.5,-290.9403,225.1496,,,
0.51,-290.7501,225.0878,,,
0.52,-290.5584,225.0311,,,
0.53,-290.37,224.9639,,,
0.54,-290.1795,224.9028,,,
0.55,-289.9963,224.8227,,,
0.56,-289.813,224.7427,,,
0.57,-289.6303,224.6613,,,
0.58,-289.4593,224.5575,,,
0.59,-289.3036,224.43200000000002,,,
