,bin_edge,res_time
0,9.5,4404.9800000000005
1,14.41,7549.37
2,19.32,9299.93
3,24.23,10794.1
4,29.14,11909.300000000001
5,34.05,12760.95
6,38.96,13275.210000000001
7,43.870000000000005,13699.95
8,48.78,13979.95
9,53.69,13794.78
10,58.6,13746.710000000001
11,63.510000000000005,13661.02
12,68.42,13441.970000000001
13,73.33,13277.050000000001
14,78.24000000000001,13196.36
15,83.15,12971.03
16,88.06,12715.34
17,92.97,12534.67
18,97.88,12178.67
19,102.79,11910.33
20,107.7,11635.800000000001
21,112.61,11277.29
22,117.52000000000001,11114.94
23,122.43,10810.61
24,127.34,10627.23
25,132.25,10465.84
26,137.16,10253.64
27,142.07,10119.34
28,146.98000000000002,10006.99
29,151.89000000000001,9835.35
30,156.8,9609.75
31,161.71,9450.07
32,166.62,9318.82
33,171.53,9145.99
34,176.44,9078.47
35,181.35,8940.91
36,186.26,8715.15
37,191.17000000000002,8511.81
38,196.08,8473.94
39,200.99,8367.22
40,205.9,8188.6900000000005
41,210.81,8100.4400000000005
42,215.72,7955.26
43,220.63,7757.63
44,225.54000000000002,7569.77
45,230.45000000000002,7413.71
46,235.36,7463.72
47,240.27,7301.0
48,245.18,7261.54
49,250.09,7154.01
50,255.0,7033.83
51,259.90999999999997,6938.27
52,264.82,6775.05
53,269.73,6696.09
54,274.64,6664.42
55,279.55,6600.82
56,284.46000000000004,6594.92
57,289.37,6472.2300000000005
58,294.28000000000003,6382.900000000001
59,299.19,6337.74
60,304.1,6254.01
61,309.01,6136.42
62,313.92,6147.41
63,318.83,6118.96
64,323.74,6044.650000000001
65,328.65000000000003,6207.76
66,333.56,6236.99
67,338.47,6207.55
68,343.38,6285.59
69,348.29,6373.400000000001
70,353.2,6458.83
71,358.11,6600.860000000001
72,363.02,6684.25
73,367.93,6684.51
74,372.84000000000003,6746.9800000000005
75,377.75,6855.27
76,382.66,6928.28
77,387.57,6920.46
78,392.48,7014.58
79,397.39,7060.22
80,402.3,6980.02
81,407.21000000000004,6862.28
82,412.12,6850.87
83,417.03000000000003,6771.21
84,421.94,6761.4800000000005
85,426.85,6689.71
86,431.76,6486.75
87,436.67,6260.03
88,441.58000000000004,6113.66
89,446.49,5885.96
90,451.40000000000003,5528.92
91,456.31,5231.51
92,461.22,4829.76
93,466.13,4393.05
94,471.04,3870.6800000000003
95,475.95,3308.39
96,480.86,2778.88
97,485.77000000000004,2154.67
98,490.68,1572.01
99,495.59000000000003,907.47
100,500.5,
