D_rot,ci,ci_sem
0.0,0.264947876518616,9.379774554910704e-05
0.001,0.2627982657228011,9.368089491093873e-05
0.01,0.2659140013854256,9.443280758534364e-05
0.1,0.2618256266055843,9.598924602862546e-05
0.2,0.2431125401757175,9.433654244378606e-05
1.0,0.1301550293160394,7.674017429490615e-05
