count,bins
261954.0,9.5
363185.0,14.361386138613861
422554.0,19.222772277227723
461566.0,24.084158415841586
492037.0,28.945544554455445
505056.0,33.806930693069305
512680.0,38.66831683168317
502041.0,43.52970297029703
494083.0,48.39108910891089
482573.0,53.25247524752475
470560.0,58.11386138613861
459005.0,62.975247524752476
446845.0,67.83663366336634
429800.0,72.6980198019802
414898.0,77.55940594059406
398035.0,82.42079207920791
391680.0,87.28217821782178
383589.0,92.14356435643565
370684.0,97.0049504950495
362587.0,101.86633663366337
350890.0,106.72772277227722
343290.0,111.58910891089108
336074.0,116.45049504950495
328567.0,121.3118811881188
321358.0,126.17326732673267
313848.0,131.03465346534654
306516.0,135.8960396039604
301351.0,140.75742574257424
295093.0,145.61881188118812
290643.0,150.48019801980197
284498.0,155.34158415841583
278058.0,160.2029702970297
275540.0,165.06435643564356
271386.0,169.9257425742574
265286.0,174.7871287128713
263749.0,179.64851485148515
261090.0,184.509900990099
254476.0,189.37128712871288
249967.0,194.23267326732673
246363.0,199.09405940594058
243129.0,203.95544554455444
237851.0,208.81683168316832
231432.0,213.67821782178217
225404.0,218.53960396039602
223085.0,223.4009900990099
219692.0,228.26237623762376
213703.0,233.1237623762376
211107.0,237.9851485148515
207638.0,242.84653465346534
203719.0,247.7079207920792
198626.0,252.56930693069307
193901.0,257.4306930693069
187431.0,262.2920792079208
183694.0,267.15346534653463
176902.0,272.0148514851485
170262.0,276.8762376237624
165527.0,281.73762376237624
161891.0,286.5990099009901
156459.0,291.46039603960395
152419.0,296.3217821782178
146843.0,301.18316831683165
141374.0,306.04455445544556
135150.0,310.9059405940594
128439.0,315.76732673267327
123854.0,320.6287128712871
116881.0,325.490099009901
110187.0,330.3514851485148
105572.0,335.2128712871287
100974.0,340.0742574257426
95325.0,344.93564356435644
89785.0,349.7970297029703
83530.0,354.65841584158414
80353.0,359.519801980198
75563.0,364.38118811881185
71720.0,369.24257425742576
66507.0,374.1039603960396
62998.0,378.96534653465346
59653.0,383.8267326732673
56752.0,388.68811881188117
52077.0,393.549504950495
46978.0,398.4108910891089
44661.0,403.2722772277228
41244.0,408.13366336633663
38028.0,412.9950495049505
34681.0,417.85643564356434
30993.0,422.7178217821782
26487.0,427.57920792079204
24229.0,432.44059405940595
21721.0,437.3019801980198
18494.0,442.16336633663366
15409.0,447.0247524752475
12542.0,451.88613861386136
10726.0,456.7475247524752
8047.0,461.6089108910891
6191.0,466.470297029703
4601.0,471.33168316831683
3170.0,476.1930693069307
2073.0,481.05445544554453
678.0,485.9158415841584
477.0,490.77722772277224
157.0,495.63861386138615
,500.5
