time,x,y,tumble,label_true,label_pred
0.0,440.4776,-57.3267,True,False,False
0.01,440.3854,-57.1492,,,
0.02,440.2847,-56.9764,,,
0.03,440.1817,-56.805,,,
0.04,440.0839,-56.6305,,,
0.05,439.9809,-56.4591,,,
0.06,439.8687,-56.2935,,,
0.07,439.7633,-56.1235,,,
0.08,439.6655,-55.9491,,,
0.09,439.5745,-55.771,,,
0.1,439.4692,-55.6009,,,
0.11,439.3539,-55.4375,,,
0.12,439.2336,-55.2777,,,
0.13,439.1244,-55.1102,,,
0.14,439.0089,-54.9469,,,
0.15,438.9022,-54.7778,,,
0.16,438.7881,-54.6135,,,
0.17,438.6608,-54.4592,,,
0.18,438.5464,-54.2952,,,
0.19,438.4511,-54.1194,,,
0.2,438.3591,-53.9418,,,
0.21,438.272,-53.7617,,,
0.22,438.1679,-53.591,,,
0.23,438.0776,-53.4125,,,
0.24,438.0059,-53.2258,,,
0.25,437.9562,-53.0321,,,
0.26,437.9002,-52.8401,,,
0.27,437.8436,-52.6483,,,
0.28,437.8014,-52.4528,,,
0.29,437.7721,-52.2549,,,
0.3,437.7399,-52.0575,,,
0.31,437.7099,-51.8598,,,
0.32,437.658,-51.6667,,,
0.33,437.5955,-51.4767,,,
0.34,437.5531,-51.2812,,,
0.35,437.53,-51.0825,,,
0.36,437.4966,-50.8854,,,
0.37,437.4461,-50.6918,,,
0.38,437.3991,-50.4974,,,
0.39,437.3624,-50.3008,,,
0.4,437.3294,-50.1036,,,
0.41,437.32300000000004,-49.9037,,,
0.42,437.3379,-49.7042,,,
0.43,437.3502,-49.5046,,,
0.44,437.36699999999996,-49.3053,,,
0.45,437.3845,-49.1061,,,
0.46,437.3975,-48.9065,,,
0.47,437.4239,-48.7082,,,
0.48,437.465,-48.5125,,,
0.49,437.50300000000004,-48.3162,,,
0.5,437.5205,-48.1169,,,
0.51,437.5316,-47.9172,,,
0.52,437.5516,-47.7182,,,
0.53,437.5723,-47.5193,,,
0.54,437.5959,-47.3207,,,
0.55,437.6277,-47.1232,,,
0.56,437.6864,-46.9321,,,
0.57,437.7365,-46.7385,,,
0.58,437.7788,-46.543,,,
0.59,437.8221,-46.3477,,,
0.6,437.8781,-46.1557,,,
0.61,437.9432,-45.9666,,,
0.62,438.0099,-45.7781,,,
0.63,438.0824,-45.5917,,,
0.64,438.1511,-45.4038,,,
0.65,438.2259,-45.2183,,,
0.66,438.2849,-45.0272,,,
0.67,438.3427,-44.8358,,,
0.68,438.4031,-44.6451,,,
0.69,438.473,-44.4577,,,
0.7,438.5516,-44.2738,,,
0.71,438.6232,-44.0871,,,
0.72,438.6748,-43.8938,,,
0.73,438.7437,-43.7061,,,
0.74,438.7977,-43.5135,,,
0.75,438.8383,-43.3177,,,
0.76,438.8696,-43.1201,,,
0.77,438.8703,-42.9201,,,
0.78,438.8983,-42.7221,,,
0.79,438.9092,-42.5224,,,
0.8,438.9249,-42.323,,,
0.81,438.944,-42.1239,,,
0.82,438.9744,-41.9263,,,
0.83,439.0006,-41.728,,,
0.84,439.0462,-41.5333,,,
0.85,439.0823,-41.3365,,,
0.86,439.1082,-41.1382,,,
0.87,439.1345,-40.94,,,
0.88,439.1476,-40.7404,,,
0.89,439.1696,-40.5416,,,
0.9,439.1791,-40.3418,,,
0.91,439.1943,-40.1424,,,
0.92,439.2027,-39.9426,,,
0.93,439.1962,-39.7427,,,
0.94,439.1915,-39.5427,,,
0.95,439.19699999999995,-39.3428,,,
0.96,439.1903,-39.1429,,,
0.97,439.1726,-38.9437,,,
0.98,439.1619,-38.744,,,
0.99,439.1443,-38.5448,,,
1.0,439.1364,-38.3449,False,True,True
1.01,439.1364,-38.3449,True,True,False
1.02,439.3298,-38.2941,,,
1.03,439.5235,-38.2442,,,
1.04,439.7202,-38.2082,,,
1.05,439.9199,-38.1967,,,
1.06,440.1198,-38.1919,,,
1.07,440.3198,-38.195,,,
1.08,440.5197,-38.2019,,,
1.09,440.719,-38.2182,,,
1.1,440.9185,-38.2319,,,
1.11,441.1181,-38.2453,,,
1.12,441.3174,-38.2618,,,
1.13,441.51599999999996,-38.285,,,
1.14,441.7145,-38.3094,,,
1.15,441.9137,-38.3275,,,
1.16,442.1121,-38.3533,,,
1.17,442.31199999999995,-38.3505,,,
1.18,442.5106,-38.3269,,,
1.19,442.708,-38.2942,,,
1.2,442.9066,-38.2707,,,
1.21,443.106,-38.2562,,,
1.22,443.3028,-38.2203,,,
1.23,443.4987,-38.18,,,
1.24,443.6935,-38.1346,,,
1.25,443.8858,-38.0798,,,
1.26,444.0695,-38.0007,,,
1.27,444.24699999999996,-37.9086,,,
1.28,444.4161,-37.8017,,,
1.29,444.5788,-37.6854,,,
1.3,444.7368,-37.5628,,,
1.31,444.8947,-37.44,,,
1.32,445.0521,-37.3166,,,
1.33,445.2052,-37.188,,,
1.34,445.3525,-37.0526,,,
1.35,445.5013,-36.9191,,,
1.36,445.6534,-36.7892,,,
1.37,445.80300000000005,-36.6564,,,
1.38,445.9564,-36.5282,,,
1.39,446.1035,-36.3926,,,
1.4,446.2614,-36.2698,,,
