time,x,y,tumble,label_true,label_pred
0.0,-232.1216,412.0709,True,False,False
0.01,-231.9536,412.1795,,,
0.02,-231.785,412.2871,,,
0.03,-231.6237,412.4054,,,
0.04,-231.4605,412.5209,,,
0.05,-231.2985,412.6381,,,
0.06,-231.13099999999997,412.7476,,,
0.07,-230.9649,412.85900000000004,,,
0.08,-230.8021,412.975,,,
0.09,-230.6476,413.1021,,,
0.1,-230.4897,413.2248,,,
0.11,-230.3364,413.3533,,,
0.12,-230.1767,413.4737,,,
0.13,-230.0306,413.6102,,,
0.14,-229.895,413.7572,,,
0.15,-229.7594,413.9043,,,
0.16,-229.6251,414.0525,,,
0.17,-229.4801,414.1902,,,
0.18,-229.3256,414.3172,,,
0.19,-229.1708,414.4439,,,
0.2,-229.0122,414.5657,,,
0.21,-228.8496,414.6822,,,
0.22,-228.6909,414.8038,,,
0.23,-228.5408,414.9361,,,
0.24,-228.3948,415.0727,,,
0.25,-228.2396,415.1989,,,
0.26,-228.0835,415.3239,,,
0.27,-227.9259,415.4471,,,
0.28,-227.7794,415.5832,,,
0.29,-227.62,415.7041,,,
0.3,-227.4571,415.8201,,,
0.31,-227.293,415.9343,,,
0.32,-227.1318,416.0528,,,
0.33,-226.9597,416.1545,,,
0.34,-226.7748,416.2309,,,
0.35,-226.5916,416.3111,,,
0.36,-226.4121,416.3994,,,
0.37,-226.2305,416.4831,,,
0.38,-226.0539,416.577,,,
0.39,-225.8721,416.6604,,,
0.4,-225.6911,416.7455,,,
0.41,-225.50400000000002,416.8162,,,
0.42,-225.3127,416.8743,,,
0.43,-225.1187,416.9231,,,
0.44,-224.9242,416.9694,,,
0.45,-224.7267,417.0009,,,
0.46,-224.5311,417.043,,,
0.47,-224.3384,417.0966,,,
0.48,-224.1428,417.1382,,,
0.49,-223.9527,417.2004,,,
0.5,-223.7693,417.2802,,,
0.51,-223.5867,417.3617,,,
0.52,-223.4045,417.4441,,,
0.53,-223.2198,417.52099999999996,,,
0.54,-223.0437,417.6157,,,
0.55,-222.8754,417.7237,,,
0.56,-222.708,417.8332,,,
0.57,-222.5436,417.9471,,,
0.58,-222.3837,418.0672,,,
0.59,-222.2239,418.1875,,,
0.6,-222.0812,418.3276,,,
0.61,-221.951,418.4795,,,
0.62,-221.8203,418.6309,,,
0.63,-221.6965,418.7879,,,
0.64,-221.5691,418.9421,,,
0.65,-221.4531,419.105,,,
0.66,-221.3476,419.275,,,
0.67,-221.2236,419.4318,,,
0.68,-221.1022,419.5908,,,
0.69,-221.0023,419.764,,,
