time,x,y,tumble,label_true,label_pred
0.0,193.1845,-418.9015,True,False,False
0.01,193.252,-419.0898,,,
0.02,193.3279,-419.2748,,,
0.03,193.3994,-419.4616,,,
0.04,193.4829,-419.6434,,,
0.05,193.5795,-419.8185,,,
0.06,193.6995,-419.9785,,,
0.07,193.8335,-420.1269,,,
0.08,193.9691,-420.274,,,
0.09,194.1108,-420.4151,,,
0.1,194.2595,-420.5488,,,
0.11,194.40900000000002,-420.6817,,,
0.12,194.5547,-420.8187,,,
0.13,194.6921,-420.964,,,
0.14,194.8343,-421.1047,,,
0.15,194.9875,-421.2332,,,
0.16,195.1452,-421.3563,,,
0.17,195.2976,-421.4857,,,
0.18,195.4432,-421.6228,,,
0.19,195.5866,-421.7623,,,
0.2,195.7207,-421.9106,,,
0.21,195.8639,-422.0502,,,
0.22,196.0103,-422.1865,,,
0.23,196.1497,-422.33,,,
0.24,196.2835,-422.4786,,,
0.25,196.4271,-422.6178,,,
0.26,196.5772,-422.75,,,
0.27,196.7166,-422.8934,,,
0.28,196.842,-423.0492,,,
0.29,196.9582,-423.212,,,
0.3,197.0848,-423.3668,,,
0.31,197.2089,-423.5237,,,
0.32,197.3368,-423.6774,,,
0.33,197.4707,-423.82599999999996,,,
0.34,197.5967,-423.9813,,,
0.35,197.7276,-424.1325,,,
0.36,197.8731,-424.2698,,,
0.37,198.0209,-424.4044,,,
0.38,198.1608,-424.5474,,,
0.39,198.2912,-424.699,,,
0.4,198.4223,-424.8501,,,
0.41,198.5485,-425.0052,,,
0.42,198.668,-425.1656,,,
0.43,198.7796,-425.3316,,,
0.44,198.9029,-425.48900000000003,,,
0.45,199.0344,-425.6398,,,
0.46,199.1484,-425.8041,,,
0.47,199.2694,-425.9634,,,
0.48,199.3684,-426.1371,,,
0.49,199.4619,-426.3139,,,
0.5,199.5656,-426.4849,,,
0.51,199.6805,-426.6486,,,
0.52,199.783,-426.8203,,,
0.53,199.8746,-426.9981,,,
0.54,199.9753,-427.1709,,,
0.55,200.081,-427.3407,,,
0.56,200.1845,-427.5119,,,
0.57,200.2614,-427.6965,,,
0.58,200.3387,-427.881,,,
0.59,200.4261,-428.0609,,,
0.6,200.5161,-428.2394,,,
0.61,200.601,-428.4205,,,
0.62,200.71,-428.5882,,,
0.63,200.8265,-428.7508,,,
0.64,200.9577,-428.9018,,,
0.65,201.0618,-429.0725,,,
0.66,201.1649,-429.2439,,,
0.67,201.2557,-429.4221,,,
0.68,201.3399,-429.6035,,,
0.69,201.4369,-429.7784,,,
0.7,201.5239,-429.9585,,,
0.71,201.601,-430.1431,,,
0.72,201.6835,-430.3252,,,
0.73,201.7489,-430.5142,,,
0.74,201.8142,-430.7033,,,
0.75,201.889,-430.8888,,,
0.76,201.9745,-431.0696,,,
0.77,202.0717,-431.2443,,,
0.78,202.1817,-431.4114,,,
0.79,202.2944,-431.5766,,,
0.8,202.3982,-431.7476,,,
0.81,202.5039,-431.9173,,,
0.82,202.6037,-432.0907,,,
0.83,202.7126,-432.2584,,,
0.84,202.8169,-432.4291,,,
0.85,202.9149,-432.6034,,,
0.86,203.0103,-432.7792,,,
0.87,203.1145,-432.9499,,,
0.88,203.2116,-433.1248,,,
0.89,203.3085,-433.2997,,,
0.9,203.4068,-433.4739,,,
0.91,203.5096,-433.6455,,,
0.92,203.5875,-433.8297,,,
0.93,203.66400000000002,-434.0144,,,
0.94,203.7241,-434.2052,,,
0.95,203.7824,-434.3965,,,
0.96,203.8235,-434.5923,,,
0.97,203.8763,-434.7852,,,
0.98,203.9184,-434.9807,,,
0.99,203.9591,-435.1765,,,
1.0,203.9591,-435.1765,True,False,False
1.01,203.9242,-435.3734,,,
1.02,203.8891,-435.5703,,,
1.03,203.8351,-435.7629,,,
1.04,203.7892,-435.9575,,,
1.05,203.7503,-436.1537,,,
1.06,203.7245,-436.3521,,,
1.07,203.6897,-436.54900000000004,,,
1.08,203.6465,-436.7443,,,
1.09,203.5896,-436.936,,,
1.1,203.5287,-437.1265,,,
1.11,203.4874,-437.3222,,,
1.12,203.4615,-437.5205,,,
1.13,203.4238,-437.7169,,,
1.14,203.3929,-437.9145,,,
1.15,203.3451,-438.1087,,,
1.16,203.3176,-438.3068,,,
1.17,203.3228,-438.5068,,,
1.18,203.3302,-438.7066,,,
1.19,203.3374,-438.9065,,,
1.2,203.3262,-439.1062,,,
1.21,203.3088,-439.3054,,,
1.22,203.2728,-439.5022,,,
1.23,203.2365,-439.6989,,,
1.24,203.2123,-439.8974,,,
1.25,203.1954,-440.0967,,,
1.26,203.1909,-440.2966,,,
1.27,203.1942,-440.4966,,,
1.28,203.1954,-440.6966,,,
1.29,203.1682,-440.8947,,,
1.3,203.112,-441.0867,,,
1.31,203.0568,-441.2789,,,
1.32,202.9976,-441.47,,,
1.33,202.9399,-441.6614,,,
1.34,202.8605,-441.845,,,
1.35,202.7875,-442.0312,,,
1.36,202.7203,-442.2196,,,
