time,x,y,tumble,label_true,label_pred
0.0,198.9058,401.1036,True,False,False
0.01,199.0035,401.2781,,,
0.02,199.0924,401.4573,,,
0.03,199.1847,401.6347,,,
0.04,199.2776,401.8118,,,
0.05,199.3707,401.9888,,,
0.06,199.4646,402.1654,,,
0.07,199.5489,402.3468,,,
0.08,199.6332,402.5281,,,
0.09,199.7201,402.7083,,,
0.1,199.8017,402.8909,,,
0.11,199.8765,403.0764,,,
0.12,199.9658,403.2553,,,
0.13,200.0705,403.4258,,,
0.14,200.1653,403.6018,,,
0.15,200.2461,403.7848,,,
0.16,200.3087,403.9747,,,
0.17,200.363,404.1672,,,
0.18,200.4303,404.3556,,,
0.19,200.4851,404.5479,,,
0.2,200.5493,404.7373,,,
0.21,200.5978,404.9314,,,
0.22,200.6418,405.1264,,,
0.23,200.6906,405.3204,,,
0.24,200.7336,405.5157,,,
0.25,200.7855,405.7089,,,
0.26,200.8188,405.9061,,,
0.27,200.8461,406.1042,,,
0.28,200.8726,406.3025,,,
0.29,200.9121,406.4985,,,
0.3,200.9686,406.6904,,,
0.31,201.0362,406.8786,,,
0.32,201.1088,407.065,,,
0.33,201.2049,407.2404,,,
0.34,201.2902,407.4212,,,
0.35,201.3653,407.6066,,,
0.36,201.4523,407.7867,,,
0.37,201.5238,407.9735,,,
0.38,201.5937,408.1608,,,
0.39,201.6702,408.3457,,,
0.4,201.7424,408.5322,,,
0.41,201.8183,408.7172,,,
0.42,201.8985,408.9004,,,
0.43,201.9954,409.0754,,,
0.44,202.1012,409.2451,,,
0.45,202.2001,409.4189,,,
0.46,202.2928,409.5961,,,
0.47,202.4121,409.7567,,,
0.48,202.5312,409.9173,,,
0.49,202.6291,410.0918,,,
0.5,202.7331,410.2626,,,
0.51,202.84,410.4316,,,
0.52,202.9418,410.6038,,,
0.53,203.0345,410.781,,,
0.54,203.1193,410.9621,,,
0.55,203.2204,411.1347,,,
0.56,203.3041,411.3163,,,
0.57,203.3846,411.4994,,,
0.58,203.4794,411.6756,,,
0.59,203.5813,411.8476,,,
0.6,203.6821,412.0204,,,
0.61,203.7729,412.1985,,,
0.62,203.8624,412.3774,,,
0.63,203.9672,412.5478,,,
0.64,204.0657,412.7218,,,
0.65,204.1799,412.88599999999997,,,
0.66,204.3094,413.0385,,,
0.67,204.44,413.1899,,,
0.68,204.5716,413.3405,,,
0.69,204.7236,413.4705,,,
0.7,204.8755,413.6006,,,
0.71,205.0319,413.7252,,,
0.72,205.1853,413.8535,,,
0.73,205.3546,413.96,,,
0.74,205.5357,414.045,,,
0.75,205.7184,414.1263,,,
0.76,205.9081,414.1898,,,
0.77,206.088,414.2771,,,
0.78,206.2706,414.3587,,,
0.79,206.4522,414.4424,,,
0.8,206.6319,414.5302,,,
