Lambda,D_rot,score
10000000.0,0.0,0.9838
10000000.0,0.0,0.9824
10000000.0,0.0,0.9821
10000000.0,0.0,0.9832
10000000.0,0.0,0.9846
10000000.0,0.0,0.9829
10000000.0,0.0,0.984
10000000.0,0.0,0.9831
10000000.0,0.0,0.9836
10000000.0,0.0,0.9826
10000000.0,0.0,0.9843
10000000.0,0.0,0.9849
10000000.0,0.0,0.9818
10000000.0,0.0,0.9837
10000000.0,0.0,0.9846
10000000.0,0.0,0.9839
10000000.0,0.0,0.9836
10000000.0,0.0,0.9839
10000000.0,0.0,0.9828
10000000.0,0.0,0.9837
10000000.0,0.0,0.9822
10000000.0,0.0,0.9823
10000000.0,0.0,0.9837
10000000.0,0.0,0.9847
10000000.0,0.0,0.9816
10000000.0,0.0,0.9831
10000000.0,0.0,0.983
10000000.0,0.0,0.9843
10000000.0,0.0,0.9806
10000000.0,0.0,0.9811
10000000.0,0.0,0.9832
10000000.0,0.0,0.9829
10000000.0,0.0,0.9838
10000000.0,0.0,0.9837
10000000.0,0.0,0.9851
10000000.0,0.0,0.9846
10000000.0,0.0,0.9827
10000000.0,0.0,0.9846
10000000.0,0.0,0.9836
10000000.0,0.0,0.9834
10000000.0,0.0,0.9843
10000000.0,0.0,0.984
10000000.0,0.0,0.983
10000000.0,0.0,0.9859
10000000.0,0.0,0.9839
10000000.0,0.0,0.9813
10000000.0,0.0,0.984
10000000.0,0.0,0.9831
10000000.0,0.0,0.984
10000000.0,0.0,0.983
10000000.0,0.0,0.9829
10000000.0,0.0,0.9843
10000000.0,0.0,0.9827
10000000.0,0.0,0.9844
10000000.0,0.0,0.9824
10000000.0,0.0,0.9829
10000000.0,0.0,0.983
10000000.0,0.0,0.9837
10000000.0,0.0,0.984
10000000.0,0.0,0.9847
10000000.0,0.0,0.9839
10000000.0,0.0,0.9838
10000000.0,0.0,0.9826
10000000.0,0.0,0.9829
10000000.0,0.0,0.9829
10000000.0,0.0,0.9824
10000000.0,0.0,0.9838
10000000.0,0.0,0.9831
10000000.0,0.0,0.9832
10000000.0,0.0,0.9839
10000000.0,0.0,0.984
10000000.0,0.0,0.9835
10000000.0,0.0,0.9825
10000000.0,0.0,0.9851
10000000.0,0.0,0.9831
10000000.0,0.0,0.9826
10000000.0,0.0,0.9833
10000000.0,0.0,0.9844
10000000.0,0.0,0.9843
10000000.0,0.0,0.9839
100000.0,0.0,0.865
100000.0,0.0,0.8661
100000.0,0.0,0.8643
100000.0,0.0,0.8664
100000.0,0.0,0.8653
100000.0,0.0,0.8657
100000.0,0.0,0.8639
100000.0,0.0,0.862
100000.0,0.0,0.8597
100000.0,0.0,0.8659
100000.0,0.0,0.8658
100000.0,0.0,0.8663
100000.0,0.0,0.8667
100000.0,0.0,0.8586
100000.0,0.0,0.8667
100000.0,0.0,0.863
100000.0,0.0,0.867
100000.0,0.0,0.8684
100000.0,0.0,0.8683
100000.0,0.0,0.8639
100000.0,0.0,0.8642
100000.0,0.0,0.8639
100000.0,0.0,0.8643
100000.0,0.0,0.8681
100000.0,0.0,0.8634
100000.0,0.0,0.8649
100000.0,0.0,0.8699
100000.0,0.0,0.8626
100000.0,0.0,0.8638
100000.0,0.0,0.8624
100000.0,0.0,0.8664
100000.0,0.0,0.8678
100000.0,0.0,0.8637
100000.0,0.0,0.8679
100000.0,0.0,0.8607
100000.0,0.0,0.8627
100000.0,0.0,0.8646
100000.0,0.0,0.8639
100000.0,0.0,0.8653
100000.0,0.0,0.8664
100000.0,0.0,0.8668
100000.0,0.0,0.8647
100000.0,0.0,0.8633
100000.0,0.0,0.8659
100000.0,0.0,0.8687
100000.0,0.0,0.859
100000.0,0.0,0.8683
100000.0,0.0,0.8676
100000.0,0.0,0.8613
100000.0,0.0,0.8655
100000.0,0.0,0.8659
100000.0,0.0,0.8647
100000.0,0.0,0.864
100000.0,0.0,0.8627
100000.0,0.0,0.864
100000.0,0.0,0.865
100000.0,0.0,0.8654
100000.0,0.0,0.8729
100000.0,0.0,0.8694
100000.0,0.0,0.8694
100000.0,0.0,0.8647
100000.0,0.0,0.8665
100000.0,0.0,0.8661
100000.0,0.0,0.8731
100000.0,0.0,0.8664
100000.0,0.0,0.8663
100000.0,0.0,0.8641
100000.0,0.0,0.8653
100000.0,0.0,0.8667
100000.0,0.0,0.8677
100000.0,0.0,0.8615
100000.0,0.0,0.8671
100000.0,0.0,0.866
100000.0,0.0,0.8642
100000.0,0.0,0.8678
100000.0,0.0,0.8651
100000.0,0.0,0.8661
100000.0,0.0,0.8617
100000.0,0.0,0.8641
100000.0,0.0,0.8709
100000.0,0.0,0.864
100000.0,0.0,0.8706
100000.0,0.0,0.8654
100000.0,0.0,0.8642
100000.0,0.0,0.8649
100000.0,0.0,0.8667
100000.0,0.0,0.8686
100000.0,0.0,0.8585
100000.0,0.0,0.8631
100000.0,0.0,0.868
100000.0,0.0,0.8656
100000.0,0.0,0.8664
100000.0,0.0,0.8641
100000.0,0.0,0.8699
100000.0,0.0,0.8687
100000.0,0.0,0.8669
100000.0,0.0,0.8675
100000.0,0.0,0.8631
100000.0,0.0,0.8694
100000.0,0.0,0.8676
1000000.0,0.0,0.9492
1000000.0,0.0,0.9503
1000000.0,0.0,0.9522
1000000.0,0.0,0.9509
1000000.0,0.0,0.9515
1000000.0,0.0,0.9526
1000000.0,0.0,0.9514
1000000.0,0.0,0.9492
1000000.0,0.0,0.9526
1000000.0,0.0,0.9486
1000000.0,0.0,0.9538
1000000.0,0.0,0.9509
1000000.0,0.0,0.9496
1000000.0,0.0,0.9519
1000000.0,0.0,0.9484
1000000.0,0.0,0.9499
1000000.0,0.0,0.9533
1000000.0,0.0,0.9502
1000000.0,0.0,0.9519
1000000.0,0.0,0.9519
1000000.0,0.0,0.9506
1000000.0,0.0,0.9511
1000000.0,0.0,0.9522
1000000.0,0.0,0.9527
1000000.0,0.0,0.9497
1000000.0,0.0,0.9478
1000000.0,0.0,0.9535
1000000.0,0.0,0.9534
1000000.0,0.0,0.9498
1000000.0,0.0,0.9518
1000000.0,0.0,0.9486
1000000.0,0.0,0.9536
1000000.0,0.0,0.9506
1000000.0,0.0,0.9524
1000000.0,0.0,0.9517
1000000.0,0.0,0.9504
1000000.0,0.0,0.9523
1000000.0,0.0,0.9499
1000000.0,0.0,0.9544
1000000.0,0.0,0.9534
1000000.0,0.0,0.9518
1000000.0,0.0,0.9509
1000000.0,0.0,0.9515
1000000.0,0.0,0.9488
1000000.0,0.0,0.9538
1000000.0,0.0,0.9543
1000000.0,0.0,0.9496
1000000.0,0.0,0.9522
1000000.0,0.0,0.9516
1000000.0,0.0,0.9508
1000000.0,0.0,0.9542
1000000.0,0.0,0.9494
1000000.0,0.0,0.9518
1000000.0,0.0,0.9528
1000000.0,0.0,0.9515
1000000.0,0.0,0.9568
1000000.0,0.0,0.9515
1000000.0,0.0,0.9499
1000000.0,0.0,0.9551
1000000.0,0.0,0.9488
1000000.0,0.0,0.9522
1000000.0,0.0,0.9523
1000000.0,0.0,0.9545
1000000.0,0.0,0.9522
1000000.0,0.0,0.9502
1000000.0,0.0,0.9517
1000000.0,0.0,0.954
1000000.0,0.0,0.9525
1000000.0,0.0,0.9537
1000000.0,0.0,0.9527
1000000.0,0.0,0.9512
1000000.0,0.0,0.9536
1000000.0,0.0,0.9515
1000000.0,0.0,0.9499
1000000.0,0.0,0.9525
1000000.0,0.0,0.9529
1000000.0,0.0,0.9499
1000000.0,0.0,0.9528
1000000.0,0.0,0.9532
1000000.0,0.0,0.9496
1000000.0,0.0,0.9477
1000000.0,0.0,0.9516
1000000.0,0.0,0.9525
1000000.0,0.0,0.9512
1000000.0,0.0,0.9518
1000000.0,0.0,0.9513
1000000.0,0.0,0.9497
1000000.0,0.0,0.9491
1000000.0,0.0,0.9535
1000000.0,0.0,0.952
1000000.0,0.0,0.9521
1000000.0,0.0,0.9502
1000000.0,0.0,0.9524
1000000.0,0.0,0.949
1000000.0,0.0,0.9486
1000000.0,0.0,0.9517
1000000.0,0.0,0.9507
1000000.0,0.0,0.9542
1000000.0,0.0,0.9522
1000000.0,0.0,0.9541
10000000.0,0.0,0.9823
10000000.0,0.0,0.9824
10000000.0,0.0,0.9836
10000000.0,0.0,0.9829
10000000.0,0.0,0.9845
10000000.0,0.0,0.9828
10000000.0,0.0,0.9829
10000000.0,0.0,0.9836
10000000.0,0.0,0.9828
10000000.0,0.0,0.9833
10000000.0,0.0,0.9837
10000000.0,0.0,0.9826
10000000.0,0.0,0.9849
10000000.0,0.0,0.9847
10000000.0,0.0,0.9828
10000000.0,0.0,0.9839
10000000.0,0.0,0.984
10000000.0,0.0,0.9839
10000000.0,0.0,0.9834
10000000.0,0.0,0.9842
10000000.0,0.0,0.9817
10000000.0,0.0,0.9837
10000000.0,0.0,0.9822
10000000.0,0.0,0.9813
10000000.0,0.0,0.9813
10000000.0,0.0,0.9819
10000000.0,0.0,0.9818
10000000.0,0.0,0.9842
10000000.0,0.0,0.9829
10000000.0,0.0,0.9828
10000000.0,0.0,0.9836
10000000.0,0.0,0.9834
10000000.0,0.0,0.9829
10000000.0,0.0,0.983
10000000.0,0.0,0.9815
10000000.0,0.0,0.9832
10000000.0,0.0,0.9838
10000000.0,0.0,0.9808
10000000.0,0.0,0.9829
10000000.0,0.0,0.9836
10000000.0,0.0,0.9838
10000000.0,0.0,0.9838
10000000.0,0.0,0.9826
10000000.0,0.0,0.9833
10000000.0,0.0,0.9815
10000000.0,0.0,0.9829
10000000.0,0.0,0.9829
10000000.0,0.0,0.982
10000000.0,0.0,0.9841
10000000.0,0.0,0.9836
10000000.0,0.0,0.9832
10000000.0,0.0,0.9818
10000000.0,0.0,0.9809
10000000.0,0.0,0.9808
10000000.0,0.0,0.9828
10000000.0,0.0,0.9817
10000000.0,0.0,0.9844
10000000.0,0.0,0.9824
10000000.0,0.0,0.9817
10000000.0,0.0,0.9826
