Lambda,D_rot,score
1000000.0,0.0,0.9523102
1000000.0,0.001,0.9511675
1000000.0,0.01,0.9444772
1000000.0,0.1,0.9114363000000001
1000000.0,0.2,0.8886765
1000000.0,1.0,0.7941828
