Lambda,D_rot,score
100000.0,0.0,0.00010679598012739692
100000.0,0.001,0.0001038328199294158
100000.0,0.01,0.00010787370270708117
100000.0,0.1,0.00011747194651583082
100000.0,0.2,0.00012012470930572858
100000.0,1.0,0.00014086900836421585
