Lambda,D_rot,bias,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99
100000.0,0.0,-0.19121250014602428,0.16938877425991103,0.16644478580261807,0.162930460377218,0.15975970283414354,0.15685834928704104,0.15392917669671766,0.14954642697325327,0.14656686823845205,0.14288809075122125,0.14024038104930936,0.1353848928133542,0.1329863343103446,0.13019568184528021,0.12573076217971313,0.12356977366188361,0.11884164825654298,0.11537053895379651,0.11271821299773493,0.10944544668995744,0.10501651556564016,0.10189217845419066,0.09700447092970232,0.09487796282467083,0.09112081686108399,0.0891585428385583,0.0847696550375542,0.08025948048843805,0.07886567112801146,0.07441886907493798,0.0696735848799733,0.06734033765931763,0.06458732724913198,0.06025630218631838,0.058505375301790716,0.05415663152542571,0.048977404285851935,0.04650884102047587,0.04464638760971859,0.03977469682130059,0.03731369314045016,0.03346923176630805,0.030005703380121644,0.026120896441005344,0.023570851419363128,0.02115114042167322,0.01736274015106257,0.012409996647970751,0.00924581536255643,0.0064634322219445615,0.0026620046981455556,-0.0010323879508768435,-0.004880913070984604,-0.007155289209392575,-0.011971927481662311,-0.013015844489075785,-0.016521666073449435,-0.02149552564930423,-0.025089190668413267,-0.02634606158956123,-0.02923869921849879,-0.0342326039204871,-0.037032405393854835,-0.03915647836799747,-0.04292725990995711,-0.048668917836858214,-0.05179468171281919,-0.055229629057178826,-0.05864112369878403,-0.06110459447250033,-0.06625102557532088,-0.06855128696937844,-0.07230813637247611,-0.07559432428192629,-0.07767094350574985,-0.08227661021582477,-0.0848955367816152,-0.08875302889989994,-0.09119900939071585,-0.09459886091595623,-0.09714824080488434,-0.10318083636356105,-0.10569364586018785,-0.10917259611793007,-0.1132618089054853,-0.11563870180399775,-0.11886799697768338,-0.12315436398235172,-0.12513344057536196,-0.1285885757933545,-0.13387278154156299,-0.13686009468334764,-0.14145613535940305,-0.14149239095831156,-0.146050407972678,-0.14851796473752563,-0.1527560556719319,-0.15541134226711692,-0.1594319167948826,-0.16317076404404962,-0.16581421012793593
100000.0,0.001,-0.19288660300751692,0.17033208672372943,0.16677302738562536,0.16396232969622707,0.15889315309084576,0.15574934905194823,0.15193087342709904,0.14948589768277754,0.14631390581909132,0.14265450458277906,0.13935617154398056,0.13554723592820458,0.1327967267792105,0.12983414278881975,0.12694967503522647,0.12278204715706491,0.11854186927706616,0.11484562654384976,0.11176929365963252,0.10965073782882212,0.10519252971806164,0.10108522352251563,0.09966542495540935,0.09380716381523363,0.09233040294235562,0.08885212433060505,0.08552702231731629,0.08203777051090073,0.07930625826236054,0.07441234995198281,0.07174962563516056,0.0676366617577041,0.06328822433611919,0.06088008185611842,0.05689787824328387,0.05377577962808018,0.05030650467167454,0.0487759988683978,0.043872768088900685,0.03998022606648563,0.03682795007024584,0.03371803235605486,0.03001069507358161,0.02691434899544648,0.023293387240495463,0.020383039242042347,0.017554022658220182,0.013225807222291237,0.009502559781375668,0.007510202797283559,0.0038028660525710545,-5.6728508646408714e-05,-0.0044158730588185315,-0.006631821876281278,-0.010998503700490743,-0.01345702627590899,-0.018239163511347484,-0.021298403917147206,-0.02494199860401448,-0.02792332340250409,-0.03162194474539686,-0.032928650276259165,-0.03825543174488205,-0.040853856743638305,-0.04589179662779855,-0.04886100840555221,-0.05098300932374329,-0.05425859454354079,-0.057201364807570855,-0.06170337101731159,-0.06401650322149238,-0.06779327236354511,-0.07127841596035454,-0.07553004994626668,-0.07873593564311321,-0.0806171246939931,-0.08435892505457769,-0.08870057348655035,-0.09152876073232699,-0.09678367553607907,-0.09945636083993023,-0.10134958683008315,-0.1057773416773139,-0.109452824901806,-0.11177146863716468,-0.11579877363684288,-0.11894354973261237,-0.12349869655266202,-0.12590596781674104,-0.1296186375432053,-0.13192417366566025,-0.13671980302195033,-0.13905221610108862,-0.14193265208482841,-0.14557176189838963,-0.14959699406711308,-0.152666005128134,-0.15605831425950548,-0.1592191001193833,-0.1633306801078039,-0.16596868826496777
100000.0,0.01,-0.19063172546883966,0.16989914621552865,0.16507828287793413,0.16337640842469955,0.15907694995406102,0.15576504035855693,0.15325223140238933,0.1470233586249042,0.14654944612707035,0.14318389794498199,0.13673611504165095,0.13464765129719947,0.13066077391241007,0.12800842328416376,0.12445245361016231,0.11991125524497513,0.11721580625672991,0.11404679275439003,0.11099730772634757,0.10788668338086395,0.10455976910673441,0.10027776793814329,0.0967965581045019,0.09401367774922782,0.08974447015619787,0.08761006759159559,0.0836994529066463,0.08034580457671706,0.07664304442042255,0.07239470573160343,0.0706812482589842,0.06697228381324406,0.064437055480102,0.06132258821808255,0.05649329162575332,0.05185803666125661,0.049839051597568594,0.04481671746550863,0.04266962698481377,0.0398761346738498,0.03643619470383111,0.03274389519049088,0.03031844630136301,0.025417008803606443,0.023222910984693087,0.019858277982570918,0.017597857214623973,0.01137947394119127,0.009423570851201907,0.005296174546851665,0.0025062251431232836,-0.0010814998641648513,-0.005153218102988744,-0.007026279480677397,-0.010574446562893068,-0.015711780420348112,-0.01791390030228519,-0.020777038576516468,-0.024079484068345397,-0.02675232135827772,-0.030641898232092492,-0.03443874953408826,-0.03730454710631157,-0.039569020148884075,-0.04504024891825313,-0.047121042526754746,-0.05224352916259915,-0.05404017582936038,-0.05917347914023684,-0.06006319291248106,-0.06532473993965018,-0.06805743947546232,-0.07089841547785376,-0.07533496284025099,-0.07764925182793236,-0.08041467317562635,-0.08427689135631874,-0.08788114621416002,-0.08997292789379313,-0.09492564123670898,-0.0977322562964127,-0.10048499406277268,-0.10403037290085554,-0.10618864071272166,-0.11059982511617013,-0.1151905410312176,-0.11655744864704363,-0.12045328111465622,-0.1232336720407601,-0.1267152124652322,-0.13136721285905167,-0.13364130310445427,-0.1357098728480478,-0.1408612187693698,-0.14382186507127032,-0.14683941798077504,-0.1493319029800855,-0.1537209118850054,-0.15630367909988152,-0.1605780565562185,-0.1639503607572648
100000.0,0.1,-0.18135803613878013,0.16556389550408135,0.16224766535398732,0.15821711825245657,0.1533202536483418,0.1497995853512495,0.1457172394567207,0.14388605244525926,0.13788051831445247,0.13526934020304365,0.13072555323774818,0.1272068465086189,0.12268009647564322,0.12061328975194811,0.11584834692004427,0.11308659963591165,0.1100151574919778,0.10651330239757324,0.1021427716400389,0.09791878683273605,0.09544785424468699,0.09063834457734087,0.08733785545593521,0.08427835655683628,0.08062648472835156,0.0775339087093307,0.07439324805220825,0.07090778206570589,0.06715440191756233,0.06271624051131586,0.06146117959727442,0.059271716529168746,0.05411014746953685,0.05110896627704051,0.04681265354080011,0.04372590845964074,0.04059280500358959,0.03875790447317367,0.03484109823414126,0.032236969891741525,0.028315896665407764,0.024027067742950034,0.021376127334584653,0.01904432075732354,0.017104728640205815,0.013075494623717423,0.008847600291560538,0.006359395473777979,0.0025863683876608513,0.000677442379632961,-0.0022310124546011585,-0.004641679862064641,-0.008111529885851131,-0.011536731444704908,-0.013624082206707711,-0.01640233022900731,-0.02045989179418265,-0.023248591500843598,-0.02613651400019787,-0.02830704334522428,-0.03167450800237171,-0.03373568840272334,-0.03837751503382088,-0.03948580678214048,-0.043862414365244365,-0.046443392965050276,-0.049676270435367695,-0.05103652227737492,-0.0551566463707064,-0.05771780655893655,-0.059139798028828156,-0.06330305909107048,-0.06614379454017652,-0.06815330146098365,-0.0715859651850073,-0.07465578901584266,-0.07675289370796995,-0.07924759237900589,-0.08288092969435913,-0.0840589993992911,-0.08779879925664413,-0.09170384894949268,-0.09215849627655144,-0.09572229173064005,-0.09847039352042314,-0.10287309096997004,-0.10509120855893904,-0.10644052597036029,-0.10904732691068528,-0.11296496746421905,-0.11489122287198093,-0.11749168831360682,-0.11950185495139297,-0.12271193679216537,-0.12643141209405362,-0.12813238140595737,-0.1314738538592369,-0.13332073544567924,-0.13649099843530801,-0.13992418882282112,-0.14218031699752182
100000.0,0.2,-0.16035223774603277,0.1622726292966887,0.16012848864723214,0.1553129058629371,0.15043453254811112,0.14593226105647986,0.1420949371465872,0.13734217799154488,0.13400750199375064,0.12907812082404696,0.12497149848758367,0.12085772880766685,0.11669557514006593,0.11393644334165555,0.10957789930483544,0.1055933210334605,0.10042295887665097,0.09905178556174052,0.09371720416872788,0.09049052837652655,0.08679841636596108,0.08369504110014606,0.0797143570065098,0.07556941661946195,0.07319383244645582,0.06961482926472895,0.065779659941073,0.06288152867873685,0.05844821439893591,0.05559674345464549,0.05275263240993184,0.05024010085641915,0.04643437292277142,0.042859669464513306,0.04032986728742596,0.03572940151538271,0.03397939125144879,0.031131687047242614,0.027074516127370083,0.02482902854949485,0.02171440711054877,0.018046596682992112,0.016236371529419535,0.012691605417403403,0.00881457462711853,0.006359168981698643,0.004120623493221402,0.0027618584141207185,-0.001056359608266682,-0.0029704475296515715,-0.005735708873223054,-0.010046142186024757,-0.011799894792960014,-0.01466143074734773,-0.01745812522118064,-0.01979848614329676,-0.021676029115666247,-0.025655675497434357,-0.027804720465965806,-0.029129197217856544,-0.03163762568466526,-0.03531281268742097,-0.0367978736228933,-0.04037674305256688,-0.04267663844043366,-0.045169461398573245,-0.04735262689871856,-0.04826096369102563,-0.0520564526141956,-0.05471737269771481,-0.0565424220671367,-0.05951253391629439,-0.06099807548812964,-0.0635599463682278,-0.06666444951494156,-0.06888725387769626,-0.0702170335983251,-0.07448565560165334,-0.07678124785140922,-0.07822279749484928,-0.07961768057949416,-0.08253648033145308,-0.08410503551876304,-0.08765534014254413,-0.08921654624615237,-0.09220646245569683,-0.09274056297109362,-0.09662291299596641,-0.0987012076725094,-0.10029711384219542,-0.1026253500373956,-0.10410635595102094,-0.10557080410701328,-0.1086779338328706,-0.11115216945013502,-0.11329835682713503,-0.11531376921769625,-0.11756361020381692,-0.11943241612603481,-0.12116652094730773,-0.12468633879211419
100000.0,1.0,-0.09439569364317076,0.16494963959801895,0.15695618429724756,0.15057947142919811,0.14454671941588335,0.13744137890565986,0.13214635322483556,0.1253295477842636,0.11935201149394917,0.11496218044346034,0.10718894284201888,0.10239432295244358,0.09723167731744647,0.09251051376460775,0.08637966375323215,0.08231106159631653,0.07757543739273752,0.07358497558707634,0.06844270187330147,0.06353049542804065,0.05930722867257518,0.05677629767795375,0.05152794541711114,0.04603579264299706,0.04402152781023814,0.039165348943735266,0.03703833763787796,0.032223711929495136,0.03022047242710148,0.02584439626676469,0.02216940025351634,0.020469905527532244,0.01708862990234574,0.014656741240301533,0.010750209914371468,0.007465124992406693,0.006117658044107841,0.003647531305466145,-0.0008473733203560842,-0.002061109769152092,-0.0032696389465383265,-0.005762535867110257,-0.008564789637038902,-0.01076210695050497,-0.013177848064265092,-0.01491036662933293,-0.01627079468402857,-0.019199475562906753,-0.020250451560368535,-0.02239323163187468,-0.023875165645686345,-0.024721406034543085,-0.025945107951945608,-0.028023800206495433,-0.02852511150289879,-0.0305772219991741,-0.031654822311307056,-0.0334085864260693,-0.035126077828342955,-0.036174791162909746,-0.037564271454928445,-0.03840638906148185,-0.03787096958503126,-0.040528794025562254,-0.040566695071781,-0.041912093440963354,-0.04304064866774268,-0.04241165188974408,-0.043793845827290186,-0.04478185830662439,-0.045785439582875925,-0.04733212945311215,-0.046162864501886565,-0.04835662242441209,-0.048458858899918626,-0.05012183326782467,-0.05009427261318299,-0.05014871170385472,-0.0521285505292497,-0.05188446362553928,-0.05215473998363089,-0.05310824153865267,-0.05293727134325389,-0.05512914245135104,-0.055442650119172245,-0.055061376837570924,-0.055855308818032294,-0.05521486387905049,-0.057058692246607624,-0.058522431595478125,-0.05857947210631582,-0.05788811614830969,-0.05824344245374817,-0.058454830767320665,-0.05963165648957966,-0.05983598154585693,-0.06070873231526518,-0.06079676149306822,-0.061360158045883455,-0.06123841057866637,-0.062067510627307684
