count,bins
119710.0,9.5
190064.0,14.361386138613861
165268.0,19.222772277227723
156102.0,24.084158415841586
140974.0,28.945544554455445
127922.0,33.806930693069305
111701.0,38.66831683168317
100254.0,43.52970297029703
93524.0,48.39108910891089
80235.0,53.25247524752475
70839.0,58.11386138613861
64598.0,62.975247524752476
54926.0,67.83663366336634
47652.0,72.6980198019802
42900.0,77.55940594059406
37397.0,82.42079207920791
33467.0,87.28217821782178
30516.0,92.14356435643565
28034.0,97.0049504950495
23779.0,101.86633663366337
22287.0,106.72772277227722
18529.0,111.58910891089108
16699.0,116.45049504950495
16344.0,121.3118811881188
14198.0,126.17326732673267
13921.0,131.03465346534654
11163.0,135.8960396039604
10035.0,140.75742574257424
9514.0,145.61881188118812
8479.0,150.48019801980197
7931.0,155.34158415841583
6904.0,160.2029702970297
6872.0,165.06435643564356
5996.0,169.9257425742574
6149.0,174.7871287128713
4555.0,179.64851485148515
4436.0,184.509900990099
4671.0,189.37128712871288
3543.0,194.23267326732673
3509.0,199.09405940594058
2528.0,203.95544554455444
2470.0,208.81683168316832
2231.0,213.67821782178217
2092.0,218.53960396039602
1910.0,223.4009900990099
2120.0,228.26237623762376
1887.0,233.1237623762376
1222.0,237.9851485148515
1069.0,242.84653465346534
1605.0,247.7079207920792
980.0,252.56930693069307
611.0,257.4306930693069
626.0,262.2920792079208
528.0,267.15346534653463
574.0,272.0148514851485
539.0,276.8762376237624
170.0,281.73762376237624
556.0,286.5990099009901
230.0,291.46039603960395
329.0,296.3217821782178
144.0,301.18316831683165
281.0,306.04455445544556
39.0,310.9059405940594
159.0,315.76732673267327
128.0,320.6287128712871
247.0,325.490099009901
106.0,330.3514851485148
147.0,335.2128712871287
125.0,340.0742574257426
67.0,344.93564356435644
74.0,349.7970297029703
103.0,354.65841584158414
101.0,359.519801980198
253.0,364.38118811881185
148.0,369.24257425742576
161.0,374.1039603960396
113.0,378.96534653465346
48.0,383.8267326732673
109.0,388.68811881188117
203.0,393.549504950495
96.0,398.4108910891089
182.0,403.2722772277228
186.0,408.13366336633663
227.0,412.9950495049505
357.0,417.85643564356434
240.0,422.7178217821782
322.0,427.57920792079204
306.0,432.44059405940595
409.0,437.3019801980198
661.0,442.16336633663366
572.0,447.0247524752475
757.0,451.88613861386136
805.0,456.7475247524752
513.0,461.6089108910891
675.0,466.470297029703
817.0,471.33168316831683
737.0,476.1930693069307
811.0,481.05445544554453
777.0,485.9158415841584
713.0,490.77722772277224
406.0,495.63861386138615
,500.5
