D_rot,ci,ci_sem
0.0,0.3031851023452697,8.779395871504735e-05
0.001,0.306250361440868,8.775770655147081e-05
0.01,0.305704461882578,8.873897427688853e-05
0.1,0.3119976904116022,9.325954298980588e-05
0.2,0.2923276994643776,9.251277331388818e-05
1.0,0.1651969807354654,7.788227352951834e-05
