,bin_edge,res_time
0,9.5,6028.1
1,14.41,9773.68
2,19.32,11601.880000000001
3,24.23,12993.0
4,29.14,13989.39
5,34.05,14305.1
6,38.96,14392.06
7,43.870000000000005,14189.18
8,48.78,13999.56
9,53.69,13423.48
10,58.6,12900.95
11,63.510000000000005,12276.67
12,68.42,11772.050000000001
13,73.33,11272.35
14,78.24000000000001,10581.79
15,83.15,10036.380000000001
16,88.06,9528.02
17,92.97,9064.09
18,97.88,8537.11
19,102.79,8191.58
20,107.7,7718.17
21,112.61,7321.6900000000005
22,117.52000000000001,7008.62
23,122.43,6666.6900000000005
24,127.34,6474.12
25,132.25,6115.74
26,137.16,5924.36
27,142.07,5714.3
28,146.98000000000002,5502.88
29,151.89000000000001,5335.1900000000005
30,156.8,5136.79
31,161.71,5071.08
32,166.62,4917.47
33,171.53,4762.41
34,176.44,4641.13
35,181.35,4540.1
36,186.26,4478.99
37,191.17000000000002,4406.75
38,196.08,4355.09
39,200.99,4264.57
40,205.9,4099.03
41,210.81,4004.17
42,215.72,3950.65
43,220.63,3851.51
44,225.54000000000002,3780.48
45,230.45000000000002,3707.31
46,235.36,3619.4300000000003
47,240.27,3586.81
48,245.18,3523.1800000000003
49,250.09,3420.67
50,255.0,3293.78
51,259.90999999999997,3196.84
52,264.82,3141.1
53,269.73,3098.77
54,274.64,3033.93
55,279.55,2966.87
56,284.46000000000004,2854.46
57,289.37,2746.48
58,294.28000000000003,2669.03
59,299.19,2628.11
60,304.1,2588.2200000000003
61,309.01,2529.9700000000003
62,313.92,2426.13
63,318.83,2377.87
64,323.74,2285.34
65,328.65000000000003,2228.8
66,333.56,2144.19
67,338.47,2076.14
68,343.38,2020.77
69,348.29,1953.93
70,353.2,1874.3400000000001
71,358.11,1842.8500000000001
72,363.02,1739.45
73,367.93,1683.07
74,372.84000000000003,1624.53
75,377.75,1597.27
76,382.66,1566.02
77,387.57,1482.06
78,392.48,1448.8500000000001
79,397.39,1368.88
80,402.3,1336.21
81,407.21000000000004,1316.49
82,412.12,1269.77
83,417.03000000000003,1220.84
84,421.94,1209.71
85,426.85,1216.75
86,431.76,1199.18
87,436.67,1181.77
88,441.58000000000004,1145.47
89,446.49,1160.63
90,451.40000000000003,1128.6200000000001
91,456.31,1079.3700000000001
92,461.22,1005.9200000000001
93,466.13,929.74
94,471.04,857.21
95,475.95,744.1
96,480.86,596.92
97,485.77000000000004,497.01
98,490.68,348.33
99,495.59000000000003,212.94
100,500.5,
