,bin_edge,res_time
0,9.5,5878.7300000000005
1,14.41,9593.52
2,19.32,11268.5
3,24.23,12429.08
4,29.14,13192.6
5,34.05,13565.95
6,38.96,13415.91
7,43.870000000000005,13101.17
8,48.78,12703.42
9,53.69,12180.18
10,58.6,11552.32
11,63.510000000000005,11128.92
12,68.42,10530.48
13,73.33,9893.42
14,78.24000000000001,9299.630000000001
15,83.15,8792.380000000001
16,88.06,8315.130000000001
17,92.97,7937.04
18,97.88,7508.62
19,102.79,7150.56
20,107.7,6830.81
21,112.61,6542.46
22,117.52000000000001,6226.42
23,122.43,6034.95
24,127.34,5813.18
25,132.25,5716.39
26,137.16,5550.09
27,142.07,5371.01
28,146.98000000000002,5202.74
29,151.89000000000001,5139.26
30,156.8,4952.07
31,161.71,4821.2
32,166.62,4714.86
33,171.53,4647.36
34,176.44,4525.3
35,181.35,4566.01
36,186.26,4416.4400000000005
37,191.17000000000002,4314.0
38,196.08,4326.49
39,200.99,4268.93
40,205.9,4147.25
41,210.81,4033.4500000000003
42,215.72,3973.4700000000003
43,220.63,3907.51
44,225.54000000000002,3822.87
45,230.45000000000002,3733.4
46,235.36,3643.38
47,240.27,3616.8
48,245.18,3526.71
49,250.09,3535.92
50,255.0,3502.5
51,259.90999999999997,3370.2000000000003
52,264.82,3345.33
53,269.73,3339.61
54,274.64,3302.71
55,279.55,3244.7400000000002
56,284.46000000000004,3156.27
57,289.37,3069.57
58,294.28000000000003,2998.43
59,299.19,3002.27
60,304.1,2900.23
61,309.01,2857.02
62,313.92,2836.2000000000003
63,318.83,2768.7200000000003
64,323.74,2673.56
65,328.65000000000003,2643.1
66,333.56,2545.53
67,338.47,2472.73
68,343.38,2427.82
69,348.29,2339.98
70,353.2,2278.13
71,358.11,2214.5
72,363.02,2138.78
73,367.93,2025.77
74,372.84000000000003,1974.18
75,377.75,1939.3
76,382.66,1868.1100000000001
77,387.57,1771.6100000000001
78,392.48,1723.15
79,397.39,1704.8
80,402.3,1667.13
81,407.21000000000004,1632.92
82,412.12,1568.6000000000001
83,417.03000000000003,1554.74
84,421.94,1497.59
85,426.85,1453.82
86,431.76,1439.3600000000001
87,436.67,1384.88
88,441.58000000000004,1320.29
89,446.49,1268.84
90,451.40000000000003,1266.3600000000001
91,456.31,1205.66
92,461.22,1120.59
93,466.13,1027.02
94,471.04,916.96
95,475.95,768.63
96,480.86,637.27
97,485.77000000000004,503.34000000000003
98,490.68,379.56
99,495.59000000000003,239.26
100,500.5,
